SEQ,common_name,scientific_name,merged_SEQ,ADU,avibase_id,avibase_id_source,avilist_common_name,avilist_scientific_name,avilist_sort,avilist_members,ebird_code,family,order,iucn,birdlife_url,n_avilist_species,endemic,afrotropical,palearctic,waterbird,mass,habitat,habitat_density,migration,trophic_level,trophic_niche,primary_lifestyle,range_size,flag,comment
36,African Reef Heron,Egretta gularis,,2190,avibase-DF32B1F9,ebird_single,Western Reef Heron,Egretta gularis,5325,Egretta gularis,werher,"Herons, Egrets, and Bitterns",Pelecaniformes,NE,,1,false,true,false,true,312,Coastal,3,2,Carnivore,Aquatic predator,Terrestrial,2265036.6,This species is prone to misidentification and its maps might be affected by error.,
37,Black Heron,Egretta ardesiaca,,64,avibase-74853F89,ebird_single,Black Heron,Egretta ardesiaca,5316,Egretta ardesiaca,blaher1,"Herons, Egrets, and Bitterns",Pelecaniformes,LC,https://datazone.birdlife.org/species/factsheet/22696926,1,false,false,false,true,324,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,8505004.79,,
38,Yellow-billed Egret,Egreta intermedia,,60,avibase-C3ABF863,ebird_single,Yellow-billed Egret,Ardea brachyrhyncha,5404,Ardea brachyrhyncha,integr3,"Herons, Egrets, and Bitterns",Pelecaniformes,LC,https://datazone.birdlife.org/species/factsheet/22727677,1,false,false,false,true,458.8,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,5469087.01,,
39,Great White Egret,Egreta alba,,58,avibase-49D9148A,ebird_single,Great Egret,Ardea alba,5399,Ardea alba,greegr,"Herons, Egrets, and Bitterns",Pelecaniformes,LC,https://datazone.birdlife.org/species/factsheet/22697043,1,false,false,false,true,871.3,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,74898555.49,,
40,Grey Heron,Ardea cinerea,,54,avibase-6429024D,ebird_single,Grey Heron,Ardea cinerea,5419,Ardea cinerea,graher1,"Herons, Egrets, and Bitterns",Pelecaniformes,LC,https://datazone.birdlife.org/species/factsheet/22696993,1,false,false,false,true,1443,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,46421646.29,,
41,Purple Heron,Ardea purpurea,,57,avibase-3395DCF1,ebird_single,Purple Heron,Ardea purpurea,5412,Ardea purpurea,purher1,"Herons, Egrets, and Bitterns",Pelecaniformes,LC,https://datazone.birdlife.org/species/factsheet/22697031,1,false,false,false,true,1064.5,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,34922824.77,,
42,Goliath Heron,Ardea goliath,,56,avibase-C7888A15,ebird_single,Goliath Heron,Ardea goliath,5418,Ardea goliath,golher1,"Herons, Egrets, and Bitterns",Pelecaniformes,LC,https://datazone.birdlife.org/species/factsheet/22697017,1,false,false,false,true,4468,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,17833051.09,,
43,Black-headed Heron,Ardea melanocephala,,55,avibase-25A648FE,ebird_single,Black-headed Heron,Ardea melanocephala,5417,Ardea melanocephala,blhher1,"Herons, Egrets, and Bitterns",Pelecaniformes,LC,https://datazone.birdlife.org/species/factsheet/22697008,1,false,false,false,true,1060,Wetland,3,1,Carnivore,Omnivore,Terrestrial,19067243.58,,
44,Hamerkop,Scopus umbretta,,72,avibase-FC10F6ED,ebird_single,Hamerkop,Scopus umbretta,5221,Scopus umbretta,hamerk1,Hamerkop,Pelecaniformes,LC,https://datazone.birdlife.org/species/factsheet/22697356,1,false,false,false,true,472,Wetland,3,2,Carnivore,Omnivore,Terrestrial,19881333.45,,
45,White Stork,Ciconia ciconia,,80,avibase-28825494,ebird_single,White Stork,Ciconia ciconia,4997,Ciconia ciconia,whisto1,Storks,Ciconiiformes,LC,https://datazone.birdlife.org/species/factsheet/22697691,1,false,false,true,true,3445.8,Grassland,3,3,Carnivore,Omnivore,Terrestrial,5196114,,
46,Black Stork,Ciconia nigra,,79,avibase-E2817DAE,ebird_single,Black Stork,Ciconia nigra,4994,Ciconia nigra,blasto1,Storks,Ciconiiformes,LC,https://datazone.birdlife.org/species/factsheet/22697669,1,false,false,true,true,2926,Woodland,2,3,Carnivore,Aquatic predator,Terrestrial,18362407.3,,
47,Abdim's Stork,Ciconia abdimii,,78,avibase-26CD0319,ebird_single,Abdim's Stork,Ciconia abdimii,5000,Ciconia abdimii,abdsto1,Storks,Ciconiiformes,LC,https://datazone.birdlife.org/species/factsheet/22697673,1,false,true,false,true,1398,Grassland,3,1,Carnivore,Invertivore,Terrestrial,6486422.91,,
48,Woolly-necked Stork,Ciconia episcopus,,77,avibase-5157C558,ebird_single,African Woolly-necked Stork,Ciconia microscelis,5002,Ciconia microscelis,wonsto2,Storks,Ciconiiformes,LC,https://datazone.birdlife.org/species/factsheet/22727265,1,false,false,false,true,2061,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,3858090.35,,
49,Saddle-billed Stork,Ephippiorhynchus senegalensis,,75,avibase-3D155653,ebird_single,Saddle-billed Stork,Ephippiorhynchus senegalensis,4989,Ephippiorhynchus senegalensis,sabsto1,Storks,Ciconiiformes,NT,https://datazone.birdlife.org/species/factsheet/22697706,1,false,false,false,true,6158.7,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,11071552.53,,
50,Marabou Stork,Leptoptilos crumeniferus,,73,avibase-03C0F97C,ebird_single,Marabou Stork,Leptoptilos crumenifer,4978,Leptoptilos crumenifer,marsto1,Storks,Ciconiiformes,LC,https://datazone.birdlife.org/species/factsheet/22697716,1,false,false,false,true,6067.9,Grassland,3,1,Omnivore,Omnivore,Terrestrial,12361408.84,,
51,Open-billed Stork,Anastomus lamelligerus,,74,avibase-0F14ECE4,ebird_single,African Openbill,Anastomus lamelligerus,4974,Anastomus lamelligerus,afrope1,Storks,Ciconiiformes,LC,https://datazone.birdlife.org/species/factsheet/22697664,1,false,false,false,true,1081,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,13409712.69,,
52,Yellow-billed Stork,Mycteria ibis,,76,avibase-4F92C892,ebird_single,Yellow-billed Stork,Mycteria ibis,4984,Mycteria ibis,yebsto1,Storks,Ciconiiformes,LC,https://datazone.birdlife.org/species/factsheet/22697654,1,false,false,false,true,2155.6,Wetland,3,2,Carnivore,Omnivore,Terrestrial,15368408.04,,
53,Sacred Ibis,Threskiornis aethiopicus,,81,avibase-550DE745,ebird_single,African Sacred Ibis,Threskiornis aethiopicus,5206,Threskiornis aethiopicus,sacibi2,Ibises and Spoonbills,Pelecaniformes,LC,https://datazone.birdlife.org/species/factsheet/22697510,1,false,false,false,true,1493.2,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,17650108.45,,
54,Hadada Ibis,Bostrychia hagedash,,84,avibase-CAFBA217,ebird_single,Hadada Ibis,Bostrychia hagedash,5181,Bostrychia hagedash,hadibi1,Ibises and Spoonbills,Pelecaniformes,LC,https://datazone.birdlife.org/species/factsheet/22697463,1,false,false,false,true,1238,Grassland,2,1,Carnivore,Invertivore,Terrestrial,16241597.55,,
55,Green Ibis,Bostrychia olivacea,,2202,avibase-23ACB56E,ebird_single,Olive Ibis,Bostrychia olivacea,5174,Bostrychia olivacea,oliibi2,Ibises and Spoonbills,Pelecaniformes,LC,https://datazone.birdlife.org/species/factsheet/22697472,1,false,false,false,true,866,Forest,1,1,Carnivore,Omnivore,Terrestrial,802325.59,,
