Column4,common_name,scientific_name,Column1,category,Column2,Column3
411,Green-headed Sunbird,Nectarinia verticalis        ,Cyanomitra verticalis,F,Cyanomitra verticalis,Cyanomitra verticalis
162,Cardinal Woodpecker,Dendropicos fuscescens ,Dendropicos fuscescens,f,Dendropicos fuscescens,Dendropicos fuscescens
428,Golden-winged Sunbird,Nectarinia reichenowi,Drepanorhynchus reichenowi,f,Drepanorhynchus reichenowi,Drepanorhynchus reichenowi
350,Chestnut Wattle-eye,Dyaphorophyia  castanea,Dyaphorophyia castanea,FF,Dyaphorophyia castanea,Dyaphorophyia castanea
352,Yellow-bellied Wattle-eye,Dyaphorophyia  concreta,Dyaphorophyia concreta,FF,Dyaphorophyia concreta,Dyaphorophyia concreta
351,Jameson's Wattle-eye,Dyaphorophyia  jamesoni,Dyaphorophyia jamesoni,FF,Dyaphorophyia jamesoni,Dyaphorophyia jamesoni
335,White-tailed Crested Flycatcher,Trochocercus albonotatus,Elminia albonotata,FF,Elminia albonotata,Elminia albonotata
338,Dusky Crested Flycatcher,Trochocercus nigromitratus,Elminia nigromitrata,F,Elminia nigromitrata,Elminia nigromitrata
182,Little Grey Greenbul,Andropadus gracilis,Eurillas gracilis,FF,Eurillas gracilis,Eurillas gracilis
185,Yellow-whiskered Greenbul,Andropadus latirostris,Eurillas latirostris,F,Eurillas latirostris,Eurillas latirostris
184,Little Greenbul,Andropadus virens,Eurillas virens,F,Eurillas virens,Eurillas virens
263,Ashy Flycatcher,Muscicapa caerulescens,Fraseria caerulescens,F,Fraseria caerulescens,Fraseria caerulescens
321,Southern Hyliota,Hy/iota australis,Hyliota australis,F,Hyliota australis,Hyliota australis
320,Yellow-bellied Hyliota,Hy/iota flavigaster,Hyliota flavigaster,F,Hyliota flavigaster,Hyliota flavigaster
285,Mountain Yellow Warbler,Chloropeta  similis,Iduna similis,F,Iduna similis,Iduna similis
224,Scaly-breasted Illadopsis,/lladopsis albipectus,Illadopsis albipectus,FF,Illadopsis albipectus,Illadopsis albipectus
154,Red-throated Wryneck,lynx rujicollis                 ,Jynx ruficollis,f,Jynx ruficollis,Jynx ruficollis
342,African Shrike-flycatcher,Bias jlammulatus,Megabyas flammulatus,FF,Megabyas flammulatus,Megabyas flammulatus
266,White-eyed Slaty Flycatcher,Melaenomis fischeri,Melaenornis fischeri,F,Melaenornis fischeri,Melaenornis fischeri
259,African Dusky Flycatcher,Muscicapa adusta,Muscicapa adusta (race marsabit),F,Muscicapa adusta (race marsabit),Muscicapa adusta (race marsabit)
429,Malachite Sunbird,Nectarinia fanwsa,Nectarinia famosa,F,Nectarinia famosa,Nectarinia famosa
243,Red-tailed Ant Thrush,Neocossyphus  rufus,Neocossyphus rufus,FF,Neocossyphus rufus,Neocossyphus rufus
216,Eastern Nicator,Nicator gularis ,Nicator gularis,F,Nicator gularis,Nicator gularis
456,White-breasted Negrofinch,Nigrita fusconota,Nigrita fusconotus,F,Nigrita fusconotus,Nigrita fusconotus
305,Black-collared Apalis,Apa/is pulchra,Oreolais pulcher,F,Oreolais pulcher,Oreolais pulcher
432,Compact Weaver,Ploceus superciliosus,Pachyphantes superciliosus,f,Pachyphantes superciliosus,Pachyphantes superciliosus
