Column4,common_name,scientific_name,Column1,category,Column2,Column3
454,Pale-fronted  Negrofinch,Nigrita luteifrons,,F,#N/A,#N/A
455,Chestnut-breasted Negrofinch,Nigrita bicolor,,FF,#N/A,#N/A
457,White-collared Oliveback,Nesocharis ansorgei,,f,#N/A,#N/A
458,Grey-headed Oliveback,Nesocharis capistrata,,f,#N/A,#N/A
459,Red-faced Crimsonwing,Cryptospiza  reichenovii,,F,#N/A,#N/A
461,Dusky Crimsonwing,Cryptospiza  jacksoni,,F,#N/A,#N/A
462,Shelley's Crimsonwing,Cryptospiza shelleyi,,F,#N/A,#N/A
464,Grant's Bluebill,Spermophaga  poliogenys,,FF,#N/A,#N/A
469,Dusky Twinspot,Euschistospiza cinereovinacea,,f,#N/A,#N/A
472,Black-headed  Waxbill,Estrilda atricapilla,,F,#N/A,#N/A
477,Streaky Seed-eater,Serinus striolatus,Crithagra striolata,f,Crithagra striolata,#N/A
478,Thick-billed Seed-eater,Serinus burtoni,Crithagra burtoni (race albifrons),FF,Crithagra burtoni (race albifrons),#N/A
