Ref,Common_group,Common_species,Genus,Species,fp,fpn,fp_last,ad,adn,ad_last
1516,"Wood Hoopoe","White-headed ",Phoeniculus,bollei,0.8706,92,2022-11-08,0.1652,38,2022-07-16
1406,Woodpecker,"African Grey",Dendropicos,goertae,0.2460,26,2018-01-14,0.0435,10,2021-02-21
1392,Woodpecker,"African Grey",Dendropicos,goertae,9.0092,952,2022-11-05,1.3299,306,2022-11-08
451,Woodpecker,Bearded,Chloropicus,namaquus,2.2996,243,2022-10-20,0.2955,68,2022-10-09
1410,Woodpecker,Brown-backed,Dendropicos,obsoletus,1.0788,114,2022-10-04,0.2390,55,2022-10-26
1368,Woodpecker,Brown-eared,Pardipicus,caroli,0.2082,22,2022-11-08,0.0130,3,2022-10-14
1188,Woodpecker,Buff-spotted,Pardipicus,nivosus,0.1041,11,2022-10-22,0.0174,4,2020-12-12
450,Woodpecker,Cardinal,Dendropicos,fuscescens,10.0785,1065,2022-11-08,1.2300,283,2022-10-28
1384,Woodpecker,"Eastern Grey",Dendropicos,spodocephalus,0.8422,89,2022-10-23,0.2130,49,2022-11-07
447,Woodpecker,Golden-tailed,Campethera,abingoni,0.2555,27,2022-11-05,0.0217,5,2021-07-10
449,Woodpecker,Green-backed,Campethera,cailliautii,0.2839,30,2022-10-28,0.0739,17,2022-09-26
1366,Woodpecker,Mombasa,Campethera,mombassica,2.7255,288,2022-10-29,0.6823,157,2022-09-24
1372,Woodpecker,Nubian,Campethera,nubica,21.4725,2269,2022-11-09,3.1031,714,2022-11-05
1394,Woodpecker,Speckle-breasted,Dendropicos,poecilolaemus,0.0000,0,-,0.0043,1,2019-09-28
1376,Woodpecker,"Tullberg's ",Campethera,tullbergi,0.8896,94,2022-10-05,0.1521,35,2022-06-27
1400,Woodpecker,Yellow-crested,Chloropicus,xantholophus,0.2839,30,2022-11-08,0.0391,9,2022-10-14
3090,Wren-Warbler,"Grey ",Calamonastes,simplex,6.6528,703,2022-11-03,1.5776,363,2022-11-01
3092,Wren-Warbler,"Miombo ",Calamonastes,undosus,0.1514,16,2022-10-20,0.0174,4,2022-02-13
1402,Wryneck,Eurasian,Jynx,torquilla,0.0095,1,2020-01-20,0.0043,1,2010-11-14
453,Wryneck,Red-throated,Jynx,ruficollis,1.6088,170,2022-11-09,0.3955,91,2022-11-09
