Sequence,Taxon_rank,Order,Family,Family_English_name,Scientific_name,English_name_AviList,English_name_Clements_v2025,Species_code_Cornell_Lab,AvibaseID,IUCN_Red_List_Category,BirdLife_DataZone_URL
4,species,Struthioniformes,Struthionidae,Ostriches,Struthio molybdophanes,Somali Ostrich,Somali Ostrich,ostric3,avibase-40329BB6,VU,https://datazone.birdlife.org/species/factsheet/22732795
5,species,Struthioniformes,Struthionidae,Ostriches,Struthio camelus,Common Ostrich,Common Ostrich,ostric2,avibase-2247CB05,LC,https://datazone.birdlife.org/species/factsheet/45020636
13,species,Casuariiformes,Casuariidae,Emu and Cassowaries,Dromaius novaehollandiae,Emu,Emu,emu1,avibase-FD2456D5,NE,
19,species,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius casuarius,Southern Cassowary,Southern Cassowary,soucas1,avibase-8B9D93D8,LC,https://datazone.birdlife.org/species/factsheet/22678108
20,species,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius bennetti,Dwarf Cassowary,Dwarf Cassowary,dwacas1,avibase-7751E0D1,LC,https://datazone.birdlife.org/species/factsheet/22678111
23,species,Casuariiformes,Casuariidae,Emu and Cassowaries,Casuarius unappendiculatus,Northern Cassowary,Northern Cassowary,norcas1,avibase-32E7303B,LC,https://datazone.birdlife.org/species/factsheet/22678114
27,species,Apterygiformes,Apterygidae,Kiwis,Apteryx owenii,Little Spotted Kiwi,Little Spotted Kiwi,liskiw1,avibase-187706CF,NT,https://datazone.birdlife.org/species/factsheet/22678129
28,species,Apterygiformes,Apterygidae,Kiwis,Apteryx maxima,Great Spotted Kiwi,Great Spotted Kiwi,grskiw1,avibase-0D8B9E40,VU,https://datazone.birdlife.org/species/factsheet/22678132
29,species,Apterygiformes,Apterygidae,Kiwis,Apteryx australis,Southern Brown Kiwi,Southern Brown Kiwi,sobkiw1,avibase-6BA55EF0,VU,https://datazone.birdlife.org/species/factsheet/22678122
32,species,Apterygiformes,Apterygidae,Kiwis,Apteryx rowi,Okarito Kiwi,Okarito Brown Kiwi,okbkiw1,avibase-D433BDAB,VU,https://datazone.birdlife.org/species/factsheet/22732871
33,species,Apterygiformes,Apterygidae,Kiwis,Apteryx mantelli,North Island Brown Kiwi,North Island Brown Kiwi,nibkiw1,avibase-DB55CB8C,VU,https://datazone.birdlife.org/species/factsheet/45353580
37,species,Rheiformes,Rheidae,Rheas,Rhea pennata,Lesser Rhea,Lesser Rhea,lesrhe2,avibase-590ADF92,LC,https://datazone.birdlife.org/species/factsheet/22678081
41,species,Rheiformes,Rheidae,Rheas,Rhea americana,Greater Rhea,Greater Rhea,grerhe1,avibase-00986B24,NT,https://datazone.birdlife.org/species/factsheet/22678073
50,species,Tinamiformes,Tinamidae,Tinamous,Tinamotis pentlandii,Puna Tinamou,Puna Tinamou,puntin1,avibase-0A51B426,LC,https://datazone.birdlife.org/species/factsheet/22678299
51,species,Tinamiformes,Tinamidae,Tinamous,Tinamotis ingoufi,Patagonian Tinamou,Patagonian Tinamou,pattin1,avibase-EC451D91,LC,https://datazone.birdlife.org/species/factsheet/22678302
53,species,Tinamiformes,Tinamidae,Tinamous,Eudromia formosa,Quebracho Crested Tinamou,Quebracho Crested-Tinamou,quctin1,avibase-9337459C,LC,https://datazone.birdlife.org/species/factsheet/22678294
56,species,Tinamiformes,Tinamidae,Tinamous,Eudromia elegans,Elegant Crested Tinamou,Elegant Crested-Tinamou,elctin1,avibase-4E215E82,LC,https://datazone.birdlife.org/species/factsheet/22678289
68,species,Tinamiformes,Tinamidae,Tinamous,Taoniscus nanus,Dwarf Tinamou,Dwarf Tinamou,dwatin1,avibase-B62C4561,EN,https://datazone.birdlife.org/species/factsheet/22678286
70,species,Tinamiformes,Tinamidae,Tinamous,Nothura boraquira,White-bellied Nothura,White-bellied Nothura,whbnot1,avibase-458340C7,LC,https://datazone.birdlife.org/species/factsheet/22678283
71,species,Tinamiformes,Tinamidae,Tinamous,Nothura minor,Lesser Nothura,Lesser Nothura,lesnot1,avibase-99D7964C,VU,https://datazone.birdlife.org/species/factsheet/22678280
72,species,Tinamiformes,Tinamidae,Tinamous,Nothura darwinii,Darwin's Nothura,Darwin's Nothura,darnot1,avibase-F7D16275,LC,https://datazone.birdlife.org/species/factsheet/22678271
78,species,Tinamiformes,Tinamidae,Tinamous,Nothura maculosa,Spotted Nothura,Spotted Nothura,sponot1,avibase-03C3DDFB,LC,https://datazone.birdlife.org/species/factsheet/154589710
89,species,Tinamiformes,Tinamidae,Tinamous,Rhynchotus maculicollis,Huayco Tinamou,Huayco Tinamou,huatin1,avibase-94AF5DC7,LC,https://datazone.birdlife.org/species/factsheet/22733250
90,species,Tinamiformes,Tinamidae,Tinamous,Rhynchotus rufescens,Red-winged Tinamou,Red-winged Tinamou,rewtin1,avibase-C141F60A,LC,https://datazone.birdlife.org/species/factsheet/22733941
95,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta taczanowskii,Taczanowski's Tinamou,Taczanowski's Tinamou,tactin1,avibase-368EC295,VU,https://datazone.birdlife.org/species/factsheet/22678246
96,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta ornata,Ornate Tinamou,Ornate Tinamou,orntin1,avibase-286A2FBA,LC,https://datazone.birdlife.org/species/factsheet/22678254
100,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta perdicaria,Chilean Tinamou,Chilean Tinamou,chitin1,avibase-F900EE88,LC,https://datazone.birdlife.org/species/factsheet/22678265
103,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta cinerascens,Brushland Tinamou,Brushland Tinamou,brutin1,avibase-4C8BCEC2,LC,https://datazone.birdlife.org/species/factsheet/22678262
106,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta pentlandii,Andean Tinamou,Andean Tinamou,andtin1,avibase-7A66539A,LC,https://datazone.birdlife.org/species/factsheet/22678259
115,species,Tinamiformes,Tinamidae,Tinamous,Nothoprocta curvirostris,Curve-billed Tinamou,Curve-billed Tinamou,cubtin1,avibase-F68CA24D,LC,https://datazone.birdlife.org/species/factsheet/22678268
119,species,Tinamiformes,Tinamidae,Tinamous,Nothocercus julius,Tawny-breasted Tinamou,Tawny-breasted Tinamou,tabtin1,avibase-5FB99321,LC,https://datazone.birdlife.org/species/factsheet/22678157
120,species,Tinamiformes,Tinamidae,Tinamous,Nothocercus bonapartei,Highland Tinamou,Highland Tinamou,higtin1,avibase-66C31E09,LC,https://datazone.birdlife.org/species/factsheet/22678154
126,species,Tinamiformes,Tinamidae,Tinamous,Nothocercus nigrocapillus,Hooded Tinamou,Hooded Tinamou,hootin1,avibase-68E763AE,LC,https://datazone.birdlife.org/species/factsheet/22678160
130,species,Tinamiformes,Tinamidae,Tinamous,Tinamus tao,Grey Tinamou,Gray Tinamou,grytin1,avibase-346D16D5,VU,https://datazone.birdlife.org/species/factsheet/22678135
135,species,Tinamiformes,Tinamidae,Tinamous,Tinamus solitarius,Solitary Tinamou,Solitary Tinamou,soltin1,avibase-67E5E0FA,NT,https://datazone.birdlife.org/species/factsheet/22678139
136,species,Tinamiformes,Tinamidae,Tinamous,Tinamus osgoodi,Black Tinamou,Black Tinamou,blatin1,avibase-63C5F122,VU,https://datazone.birdlife.org/species/factsheet/22678145
139,species,Tinamiformes,Tinamidae,Tinamous,Tinamus major,Great Tinamou,Great Tinamou,gretin1,avibase-42D72AE1,LC,https://datazone.birdlife.org/species/factsheet/22678148
152,species,Tinamiformes,Tinamidae,Tinamous,Tinamus guttatus,White-throated Tinamou,White-throated Tinamou,whttin1,avibase-0480B7C9,NT,https://datazone.birdlife.org/species/factsheet/22678151
154,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinereus,Cinereous Tinamou,Cinereous Tinamou,cintin1,avibase-7C90F8DB,LC,https://datazone.birdlife.org/species/factsheet/22678166
155,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus berlepschi,Berlepsch's Tinamou,Berlepsch's Tinamou,bertin1,avibase-9B036853,LC,https://datazone.birdlife.org/species/factsheet/22678163
156,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus soui,Little Tinamou,Little Tinamou,littin1,avibase-39DD9DD7,LC,https://datazone.birdlife.org/species/factsheet/22678169
171,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus ptaritepui,Tepui Tinamou,Tepui Tinamou,teptin1,avibase-F5F9A63F,LC,https://datazone.birdlife.org/species/factsheet/22678172
172,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus obsoletus,Brown Tinamou,Brown Tinamou,brotin1,avibase-D624C373,LC,https://datazone.birdlife.org/species/factsheet/22678176
182,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus undulatus,Undulated Tinamou,Undulated Tinamou,undtin1,avibase-7A600A0F,LC,https://datazone.birdlife.org/species/factsheet/22678182
189,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus transfasciatus,Pale-browed Tinamou,Pale-browed Tinamou,pabtin1,avibase-D303E7FF,NT,https://datazone.birdlife.org/species/factsheet/22678185
190,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus strigulosus,Brazilian Tinamou,Brazilian Tinamou,bratin1,avibase-FE2B5A6B,LC,https://datazone.birdlife.org/species/factsheet/22678188
191,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus duidae,Grey-legged Tinamou,Gray-legged Tinamou,gyltin1,avibase-D2592D39,LC,https://datazone.birdlife.org/species/factsheet/22678213
192,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus erythropus,Red-legged Tinamou,Red-legged Tinamou,reltin1,avibase-4E03F38D,LC,https://datazone.birdlife.org/species/factsheet/22729569
200,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus noctivagus,Yellow-legged Tinamou,Yellow-legged Tinamou,yeltin1,avibase-7507BE36,NT,https://datazone.birdlife.org/species/factsheet/22678217
203,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus atrocapillus,Black-capped Tinamou,Black-capped Tinamou,blctin1,avibase-41631439,LC,https://datazone.birdlife.org/species/factsheet/22678220
206,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus boucardi,Slaty-breasted Tinamou,Slaty-breasted Tinamou,slbtin1,avibase-5183B60E,VU,https://datazone.birdlife.org/species/factsheet/22678191
209,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus kerriae,Choco Tinamou,Choco Tinamou,chotin1,avibase-2ED97B54,NT,https://datazone.birdlife.org/species/factsheet/22678194
210,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus variegatus,Variegated Tinamou,Variegated Tinamou,vartin1,avibase-F8BBC7A7,LC,https://datazone.birdlife.org/species/factsheet/22678223
211,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus cinnamomeus,Thicket Tinamou,Thicket Tinamou,thitin1,avibase-AAB5CEED,LC,https://datazone.birdlife.org/species/factsheet/22678179
221,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus brevirostris,Rusty Tinamou,Rusty Tinamou,rustin1,avibase-45EE168A,LC,https://datazone.birdlife.org/species/factsheet/22678226
222,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus bartletti,Bartlett's Tinamou,Bartlett's Tinamou,bartin2,avibase-88B9ABC1,LC,https://datazone.birdlife.org/species/factsheet/22678229
223,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus parvirostris,Small-billed Tinamou,Small-billed Tinamou,smbtin1,avibase-2988DEC6,LC,https://datazone.birdlife.org/species/factsheet/22678232
224,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus casiquiare,Barred Tinamou,Barred Tinamou,bartin1,avibase-26D1CE28,LC,https://datazone.birdlife.org/species/factsheet/22678235
225,species,Tinamiformes,Tinamidae,Tinamous,Crypturellus tataupa,Tataupa Tinamou,Tataupa Tinamou,tattin1,avibase-9C7F2C57,LC,https://datazone.birdlife.org/species/factsheet/22678238
233,species,Anseriformes,Anhimidae,Screamers,Anhima cornuta,Horned Screamer,Horned Screamer,horscr1,avibase-71BA40DC,LC,https://datazone.birdlife.org/species/factsheet/22679723
235,species,Anseriformes,Anhimidae,Screamers,Chauna chavaria,Northern Screamer,Northern Screamer,norscr1,avibase-013B2B0B,LC,https://datazone.birdlife.org/species/factsheet/22679726
236,species,Anseriformes,Anhimidae,Screamers,Chauna torquata,Southern Screamer,Southern Screamer,souscr1,avibase-91194BE3,LC,https://datazone.birdlife.org/species/factsheet/22679729
239,species,Anseriformes,Anseranatidae,Magpie Goose,Anseranas semipalmata,Magpie Goose,Magpie Goose,maggoo1,avibase-89D5434B,LC,https://datazone.birdlife.org/species/factsheet/22679732
242,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Thalassornis leuconotus,White-backed Duck,White-backed Duck,whbduc1,avibase-2EEDACD5,LC,https://datazone.birdlife.org/species/factsheet/22679785
246,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna guttata,Spotted Whistling Duck,Spotted Whistling-Duck,spwduc1,avibase-1AAB20B0,LC,https://datazone.birdlife.org/species/factsheet/22679735
247,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna eytoni,Plumed Whistling Duck,Plumed Whistling-Duck,plwduc1,avibase-A467AD00,LC,https://datazone.birdlife.org/species/factsheet/22679740
248,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna viduata,White-faced Whistling Duck,White-faced Whistling-Duck,wfwduc1,avibase-A534AFEA,LC,https://datazone.birdlife.org/species/factsheet/22679763
249,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna autumnalis,Black-bellied Whistling Duck,Black-bellied Whistling-Duck,bbwduc,avibase-C01A22D6,LC,https://datazone.birdlife.org/species/factsheet/22679780
252,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna arborea,West Indian Whistling Duck,West Indian Whistling-Duck,wiwduc1,avibase-DC65FCE7,NT,https://datazone.birdlife.org/species/factsheet/22679770
253,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna bicolor,Fulvous Whistling Duck,Fulvous Whistling-Duck,fuwduc,avibase-9A60617E,LC,https://datazone.birdlife.org/species/factsheet/22679746
254,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna arcuata,Wandering Whistling Duck,Wandering Whistling-Duck,wawduc1,avibase-69D272A6,LC,https://datazone.birdlife.org/species/factsheet/22679753
258,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Dendrocygna javanica,Lesser Whistling Duck,Lesser Whistling-Duck,lewduc1,avibase-BD683E6E,LC,https://datazone.birdlife.org/species/factsheet/22679758
260,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Biziura lobata,Musk Duck,Musk Duck,musduc1,avibase-623B61C4,LC,https://datazone.birdlife.org/species/factsheet/22679830
264,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Nettapus pulchellus,Green Pygmy Goose,Green Pygmy-Goose,grnpyg1,avibase-D040868F,LC,https://datazone.birdlife.org/species/factsheet/22680086
265,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Nettapus coromandelianus,Cotton Pygmy Goose,Cotton Pygmy-Goose,copgoo1,avibase-90AAE188,LC,https://datazone.birdlife.org/species/factsheet/22680090
268,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Nettapus auritus,African Pygmy Goose,African Pygmy-Goose,afrpyg1,avibase-EC7C1618,LC,https://datazone.birdlife.org/species/factsheet/22680095
270,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Stictonetta naevosa,Freckled Duck,Freckled Duck,freduc1,avibase-E93960AB,LC,https://datazone.birdlife.org/species/factsheet/22679836
272,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Heteronetta atricapilla,Black-headed Duck,Black-headed Duck,blhduc1,avibase-5ACD60F4,LC,https://datazone.birdlife.org/species/factsheet/22679833
274,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Nomonyx dominicus,Masked Duck,Masked Duck,masduc,avibase-98C6F885,LC,https://datazone.birdlife.org/species/factsheet/22679789
276,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura leucocephala,White-headed Duck,White-headed Duck,whhduc1,avibase-2E40EF2C,EN,https://datazone.birdlife.org/species/factsheet/22679814
277,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura australis,Blue-billed Duck,Blue-billed Duck,blbduc1,avibase-672BA2DA,LC,https://datazone.birdlife.org/species/factsheet/22679827
278,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura maccoa,Maccoa Duck,Maccoa Duck,macduc1,avibase-1C2F4E80,EN,https://datazone.birdlife.org/species/factsheet/22679820
279,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura vittata,Lake Duck,Lake Duck,lakduc1,avibase-079A8245,LC,https://datazone.birdlife.org/species/factsheet/22679824
280,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Oxyura jamaicensis,Ruddy Duck,,,avibase-DF1E2A1D,NE,
285,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Plectropterus gambensis,Spur-winged Goose,Spur-winged Goose,spwgoo1,avibase-EB01B24C,LC,https://datazone.birdlife.org/species/factsheet/22680057
289,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Malacorhynchus membranaceus,Pink-eared Duck,Pink-eared Duck,pieduc1,avibase-FE03DD1E,LC,https://datazone.birdlife.org/species/factsheet/22680336
291,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Coscoroba coscoroba,Coscoroba Swan,Coscoroba Swan,cosswa1,avibase-A3A0E8FE,LC,https://datazone.birdlife.org/species/factsheet/22679866
293,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cereopsis novaehollandiae,Cape Barren Goose,Cape Barren Goose,cabgoo1,avibase-CA875F31,LC,https://datazone.birdlife.org/species/factsheet/22679958
297,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus melancoryphus,Black-necked Swan,Black-necked Swan,blnswa2,avibase-B8C652E6,LC,https://datazone.birdlife.org/species/factsheet/22679846
298,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus olor,Mute Swan,Mute Swan,mutswa,avibase-694C127A,LC,https://datazone.birdlife.org/species/factsheet/22679839
299,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus atratus,Black Swan,Black Swan,blkswa,avibase-46B54DB1,LC,https://datazone.birdlife.org/species/factsheet/22679843
300,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus columbianus,Tundra Swan,Tundra Swan,tunswa,avibase-0BCBA6B9,LC,https://datazone.birdlife.org/species/factsheet/22679862
303,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus cygnus,Whooper Swan,Whooper Swan,whoswa,avibase-BDDB5670,LC,https://datazone.birdlife.org/species/factsheet/22679856
304,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cygnus buccinator,Trumpeter Swan,Trumpeter Swan,truswa,avibase-B86C504C,LC,https://datazone.birdlife.org/species/factsheet/22679859
306,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta bernicla,Brant Goose,Brant,brant,avibase-3E04020B,LC,https://datazone.birdlife.org/species/factsheet/22679946
310,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta ruficollis,Red-breasted Goose,Red-breasted Goose,rebgoo1,avibase-0D280B3F,VU,https://datazone.birdlife.org/species/factsheet/22679954
311,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta sandvicensis,Nene,Hawaiian Goose,hawgoo,avibase-EDB18078,NT,https://datazone.birdlife.org/species/factsheet/22679929
312,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta canadensis,Canada Goose,Canada Goose,cangoo,avibase-B59E1863,LC,https://datazone.birdlife.org/species/factsheet/22679935
320,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta leucopsis,Barnacle Goose,Barnacle Goose,bargoo,avibase-3163ED86,LC,https://datazone.birdlife.org/species/factsheet/22679943
321,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Branta hutchinsii,Cackling Goose,Cackling Goose,cacgoo1,avibase-60214D49,LC,https://datazone.birdlife.org/species/factsheet/22733619
327,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser indicus,Bar-headed Goose,Bar-headed Goose,bahgoo,avibase-B7159EF0,LC,https://datazone.birdlife.org/species/factsheet/22679893
328,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser canagicus,Emperor Goose,Emperor Goose,empgoo,avibase-1E6F0F8D,LC,https://datazone.birdlife.org/species/factsheet/22679919
329,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser rossii,Ross's Goose,Ross's Goose,rosgoo,avibase-7A24F57F,LC,https://datazone.birdlife.org/species/factsheet/22679909
330,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser caerulescens,Snow Goose,Snow Goose,snogoo,avibase-D3A260BC,LC,https://datazone.birdlife.org/species/factsheet/22679896
333,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser anser,Greylag Goose,Graylag Goose,gragoo,avibase-4AED44E8,LC,https://datazone.birdlife.org/species/factsheet/22679889
336,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser cygnoides,Swan Goose,Swan Goose,swagoo1,avibase-946E4517,EN,https://datazone.birdlife.org/species/factsheet/22679869
337,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser erythropus,Lesser White-fronted Goose,Lesser White-fronted Goose,lwfgoo,avibase-184D2329,VU,https://datazone.birdlife.org/species/factsheet/22679886
338,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser albifrons,Greater White-fronted Goose,Greater White-fronted Goose,gwfgoo,avibase-466E9077,LC,https://datazone.birdlife.org/species/factsheet/22679881
344,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser serrirostris,Tundra Bean Goose,Tundra Bean-Goose,tunbeg1,avibase-AD849FCB,NE,
347,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser brachyrhynchus,Pink-footed Goose,Pink-footed Goose,pifgoo,avibase-AFA7EE74,LC,https://datazone.birdlife.org/species/factsheet/22679872
348,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Anser fabalis,Taiga Bean Goose,Taiga Bean-Goose,taibeg1,avibase-BDB497A3,NE,
353,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Merganetta armata,Torrent Duck,Torrent Duck,torduc1,avibase-C1068510,LC,https://datazone.birdlife.org/species/factsheet/22680118
361,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Callonetta leucophrys,Ringed Teal,Ringed Teal,rintea1,avibase-45C1096F,LC,https://datazone.birdlife.org/species/factsheet/22680101
363,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Cairina moschata,Muscovy Duck,Muscovy Duck,musduc,avibase-8DE14046,LC,https://datazone.birdlife.org/species/factsheet/22680061
365,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aix galericulata,Mandarin Duck,Mandarin Duck,manduc,avibase-E1714A09,LC,https://datazone.birdlife.org/species/factsheet/22680107
366,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Aix sponsa,Wood Duck,Wood Duck,wooduc,avibase-27B2749A,LC,https://datazone.birdlife.org/species/factsheet/22680104
368,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Neochen jubata,Orinoco Goose,Orinoco Goose,origoo1,avibase-FA5A25B2,LC,https://datazone.birdlife.org/species/factsheet/22679987
370,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Chloephaga melanoptera,Andean Goose,Andean Goose,andgoo1,avibase-BB29610F,LC,https://datazone.birdlife.org/species/factsheet/22679972
371,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Chloephaga picta,Upland Goose,Upland Goose,uplgoo1,avibase-74FC5DAB,LC,https://datazone.birdlife.org/species/factsheet/22679975
374,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Chloephaga hybrida,Kelp Goose,Kelp Goose,kelgoo1,avibase-4270502F,LC,https://datazone.birdlife.org/species/factsheet/22679978
377,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Chloephaga poliocephala,Ashy-headed Goose,Ashy-headed Goose,ashgoo1,avibase-E0DEB0E7,LC,https://datazone.birdlife.org/species/factsheet/22679981
378,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Chloephaga rubidiceps,Ruddy-headed Goose,Ruddy-headed Goose,ruhgoo1,avibase-164A10EA,LC,https://datazone.birdlife.org/species/factsheet/22679984
380,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Radjah radjah,Radjah Shelduck,Radjah Shelduck,radshe1,avibase-13B373F3,LC,https://datazone.birdlife.org/species/factsheet/22680029
384,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Alopochen aegyptiaca,Egyptian Goose,Egyptian Goose,egygoo,avibase-DA2F24E3,LC,https://datazone.birdlife.org/species/factsheet/22679993
385,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Alopochen mauritiana,Mauritius Sheldgoose,Mauritius Shelduck,maushe1,avibase-E4AA60C7,EX,https://datazone.birdlife.org/species/factsheet/22728658
386,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Alopochen kervazoi,Reunion Sheldgoose,Reunion Shelduck,reushe1,avibase-10D0AD82,EX,https://datazone.birdlife.org/species/factsheet/22729490
388,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Tadorna tadorna,Common Shelduck,Common Shelduck,comshe,avibase-5EAB32D3,LC,https://datazone.birdlife.org/species/factsheet/22680024
389,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Tadorna cristata,Crested Shelduck,Crested Shelduck,creshe1,avibase-B2EEE0EA,CR,https://datazone.birdlife.org/species/factsheet/22680021
390,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Tadorna cana,South African Shelduck,South African Shelduck,soashe1,avibase-D9DEA77E,LC,https://datazone.birdlife.org/species/factsheet/22680007
391,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Tadorna ferruginea,Ruddy Shelduck,Ruddy Shelduck,rudshe,avibase-1F9D883E,LC,https://datazone.birdlife.org/species/factsheet/22680003
392,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Tadorna variegata,Paradise Shelduck,Paradise Shelduck,parshe1,avibase-AB08E5C4,LC,https://datazone.birdlife.org/species/factsheet/22680015
393,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Tadorna tadornoides,Australian Shelduck,Australian Shelduck,ausshe1,avibase-FF1439E4,LC,https://datazone.birdlife.org/species/factsheet/22680011
395,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Clangula hyemalis,Long-tailed Duck,Long-tailed Duck,lotduc,avibase-AF0C7BDE,VU,https://datazone.birdlife.org/species/factsheet/22680427
397,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Polysticta stelleri,Steller's Eider,Steller's Eider,steeid,avibase-BA07D016,VU,https://datazone.birdlife.org/species/factsheet/22680415
399,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Camptorhynchus labradorius,Labrador Duck,Labrador Duck,labduc,avibase-80897D19,EX,https://datazone.birdlife.org/species/factsheet/22680418
401,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Somateria fischeri,Spectacled Eider,Spectacled Eider,speeid,avibase-7D8BF5CC,NT,https://datazone.birdlife.org/species/factsheet/22680412
402,species,Anseriformes,Anatidae,"Ducks, Swans, and Geese",Somateria spectabilis,King Eider,King Eider,kineid,avibase-F3D74914,LC,https://datazone.birdlife.org/species/factsheet/22680409
