TAXON_CONCEPT_ID	n_records
avibase-EDA37B7C	3301
avibase-6EB497FA	3277
avibase-562F4456	3276
avibase-3E3AFB25	3253
avibase-99F447AD	3199
avibase-E10D0809	3192
avibase-ECC3F122	3186
avibase-FA03A965	3139
avibase-40A2405D	3130
avibase-E4573453	3123
avibase-C90890A3	3120
avibase-8B8AC14A	3114
avibase-15CF9352	3111
avibase-01BFAE61	3109
avibase-B55BADC1	3026
avibase-749E7B3C	3022
avibase-3B52D2B8	3010
avibase-EE79A5EF	2999
avibase-D3B1A98B	2958
avibase-96CCAFEE	2955
avibase-022798AB	2952
avibase-BA01A793	2949
avibase-7451A628	2947
avibase-968D57F9	2932
avibase-46847C50	2896
avibase-0F14ECE4	2826
avibase-5350D0E8	2824
avibase-38507A80	2814
avibase-E6576A8D	2812
avibase-B0F2FB67	2811
avibase-5157C558	2809
avibase-EBD3129B	2802
avibase-074251A3	2802
avibase-4192DE77	2787
avibase-9185D29D	2741
avibase-8F052626	2695
avibase-D8F2F78B	2676
avibase-D1C1A026	2666
avibase-6904D83F	2666
avibase-4FF4CAF8	2656
avibase-3D155653	2650
avibase-F51C1C4A	2641
avibase-69661C7D	2641
avibase-43CAAEE3	2631
avibase-DFC5A27D	2619
avibase-5FA94F66	2614
avibase-EE674721	2597
avibase-F03BE6C3	2581
avibase-47E71671	2552
avibase-F80D69C2	2540
avibase-8A9A7AAA	2540
avibase-562E17AB	2538
avibase-02428AC1	2531
avibase-56209052	2511
avibase-6DE16262	2503
avibase-3395DCF1	2499
avibase-131038AD	2485
avibase-FA831F65	2483
avibase-1FDA0172	2478
avibase-7AB4E42B	2461
avibase-006667E7	2454
avibase-E9ED7248	2408
avibase-32C216E2	2398
avibase-641068BB	2390
avibase-40329BB6	2385
avibase-E358EC8A	2378
avibase-CF2E9674	2374
avibase-819AB823	2374
avibase-47053A35	2360
avibase-29820AD9	2355
avibase-EF6101F4	2342
avibase-6A1F6033	2335
avibase-01A3BE3C	2332
avibase-747B3A52	2324
avibase-3BCD9CB0	2320
avibase-6DD8F10F	2318
avibase-535F3C99	2317
avibase-7A8A8FCF	2298
avibase-215428B0	2285
avibase-24F71192	2277
avibase-F40197D6	2274
avibase-7B0E2F01	2262
avibase-F188F8C8	2231
avibase-1E3B3515	2231
avibase-C0998BB9	2202
avibase-55997100	2154
avibase-6BB94D7E	2153
avibase-C73ED2F5	2142
avibase-E15225F1	2138
avibase-862F6F04	2131
avibase-F93910B4	2123
avibase-862749B0	2120
avibase-65856D49	2085
avibase-7542C6F1	2079
avibase-F2CEFD1A	2075
avibase-91FD087B	2057
avibase-736D38E7	2041
avibase-A0DC8E87	2029
avibase-70CB00EC	2029
avibase-ECD7C1D8	2025
avibase-D33D2F6D	2023
avibase-C649EA57	2023
avibase-1AED683B	2007
avibase-2FB34D83	2003
avibase-83D95620	1996
avibase-143A681C	1996
avibase-22647E26	1994
avibase-B48D417F	1989
avibase-2624054E	1980
avibase-A635F565	1975
avibase-F5DE9155	1968
avibase-7350FE4C	1966
avibase-70312286	1953
avibase-35A1472C	1941
avibase-9A418C45	1939
avibase-63B6412E	1929
avibase-CF870445	1916
avibase-FAFA576B	1901
avibase-3D3808E3	1897
avibase-7A841F83	1887
avibase-28825494	1873
avibase-3C0C325D	1858
avibase-95054CA5	1856
avibase-CDDA63E0	1853
avibase-EBDC03AA	1850
avibase-0C571D99	1838
avibase-2DAB45B8	1831
avibase-5C9DDB02	1827
avibase-982C918E	1826
avibase-40781028	1820
avibase-70129CB1	1816
avibase-DCFFEEC1	1791
avibase-4602AC01	1775
avibase-25DA0F41	1773
avibase-0133C47B	1773
avibase-5D82C13B	1772
avibase-EB01B24C	1766
avibase-54494BCE	1761
avibase-86BEAFA6	1744
avibase-6523C1F4	1741
avibase-1B309CB5	1731
avibase-61F9065B	1726
avibase-E2A19474	1722
avibase-4AA7817D	1717
avibase-91429F78	1713
avibase-EBBD09CA	1707
avibase-AEE2063F	1696
avibase-B08FF959	1689
avibase-BF0A0954	1685
avibase-77D82F60	1666
avibase-B15F4C49	1652
avibase-97166F72	1643
avibase-B0DD1318	1634
avibase-2125426A	1630
avibase-2103011F	1630
avibase-87071086	1613
avibase-A6034D7F	1600
avibase-7FED5700	1598
avibase-230A0342	1593
avibase-30FEC6BE	1591
avibase-DF0759C0	1566
avibase-427D7FD6	1559
avibase-92A772BB	1553
avibase-D2AFD39B	1547
avibase-533DD36C	1534
avibase-CE1CF6FD	1530
avibase-5E822C9C	1517
avibase-5011E123	1504
avibase-B9104F62	1500
avibase-94A1C447	1496
avibase-3948131B	1495
avibase-B2F86107	1486
avibase-ADDB3611	1469
avibase-B9BE800C	1465
avibase-23D5FC36	1450
avibase-9E034D83	1440
avibase-72386016	1434
avibase-2C7BA3A6	1424
avibase-8E8B3DB9	1423
avibase-D083BB3F	1419
avibase-BAE527A2	1418
avibase-523913AE	1409
avibase-F8B6EC31	1408
avibase-F774B577	1404
avibase-83D329B5	1403
avibase-D8177CEC	1389
avibase-27903EF7	1389
avibase-AB38EDFD	1384
avibase-E8F03B18	1378
avibase-EE7915A2	1375
avibase-F5A73AAA	1374
avibase-E8DEABBD	1373
avibase-42E93B64	1373
avibase-14F13C32	1369
avibase-ACF0F1A2	1339
avibase-1B11690B	1336
avibase-95B6C7C5	1333
avibase-610FFD8E	1329
avibase-3996ECD0	1327
avibase-8B6EA5FA	1326
avibase-1373D324	1323
avibase-B95C3DE9	1321
avibase-3EEB66ED	1319
avibase-14885C18	1317
avibase-EEDB8253	1312
avibase-365F5E97	1303
avibase-1EAFAD9F	1303
avibase-8B7A6FE9	1295
avibase-F9305BAA	1276
avibase-1478AA79	1275
avibase-BECA271F	1260
avibase-9151E0BA	1252
avibase-438D0DFF	1249
avibase-5AF20251	1247
avibase-95A2F6E7	1246
avibase-7DE7F0ED	1244
avibase-5CAE6778	1235
avibase-4F2CC293	1235
avibase-FF9908ED	1231
avibase-93D7EC56	1230
avibase-F5E0EA0D	1224
avibase-7C822074	1223
avibase-E22B8495	1209
avibase-6EE45113	1208
avibase-0CA903BB	1204
avibase-3153FE22	1200
avibase-AEC1B69C	1199
avibase-C5D3CB2A	1187
avibase-D56ABB4E	1184
avibase-B38FDD3E	1178
avibase-3F2BA4F7	1170
avibase-ECFF22D2	1161
avibase-3846F8A8	1159
avibase-4FE76868	1155
avibase-AC89B8FF	1146
avibase-1A0ECB6E	1144
avibase-75DF194C	1142
avibase-7066D2F1	1135
avibase-FB740D14	1134
avibase-D531B5D3	1132
avibase-4849AA43	1132
avibase-E6BD3258	1131
avibase-C130193B	1129
avibase-EDB84334	1127
avibase-132E0773	1126
avibase-71C72002	1125
avibase-C7B05F46	1117
avibase-A31AC101	1117
avibase-67D43542	1114
avibase-4568986F	1111
avibase-002445CB	1105
avibase-4B2A7A35	1098
avibase-E27EEDC5	1097
avibase-7C3026CC	1095
avibase-1327AC55	1084
avibase-C49FA9A8	1083
avibase-56790B57	1080
avibase-DEE4829A	1079
avibase-72387112	1079
avibase-424B857C	1076
avibase-B418B155	1075
avibase-2EEDACD5	1075
avibase-5396F9FB	1063
avibase-4F01F416	1062
avibase-1ABAB622	1054
avibase-92908926	1035
avibase-54A902B5	1030
avibase-3A4D2B44	1029
avibase-6EBDD2D5	1022
avibase-AFA39D5A	1018
avibase-E2817DAE	1007
avibase-1EA13EB3	1007
avibase-828D3D5A	998
avibase-FBDCA962	997
avibase-E91E287A	996
avibase-14AFBA82	989
avibase-A0EDAEA2	985
avibase-71F6A3F0	976
avibase-6A84BDB8	976
avibase-16935B44	974
avibase-BAA83B0C	970
avibase-439FE608	966
avibase-20D915AD	964
avibase-9A60617E	959
avibase-402E7401	958
avibase-26CD0319	949
	942
avibase-C25F57BD	936
avibase-29D50ED5	933
avibase-865C039E	927
avibase-4E6EF3F9	927
avibase-B38CE692	923
avibase-B20CDCE3	921
avibase-FA7A6D02	915
avibase-D1FFB474	907
avibase-D01CDECD	906
avibase-5BFEFD9A	903
avibase-74853F89	898
avibase-BB05D1FC	897
avibase-98B9C10B	891
avibase-EF5EDE6D	886
avibase-A2C88219	881
avibase-D3390C6C	876
avibase-D6A69E06	873
avibase-847AE7B8	873
avibase-8E5252EB	871
avibase-22952180	870
avibase-566669CC	866
avibase-C73137EA	861
avibase-6D5992EE	860
avibase-16FEF081	860
avibase-319F6754	854
avibase-C3E33FEB	844
avibase-E88C0B71	843
avibase-FF79A533	840
avibase-864D4A4F	835
avibase-7D6F12FE	834
avibase-D4866EAE	831
avibase-92FDBAF0	824
avibase-A7E59764	823
avibase-3B3A6911	819
avibase-55E9B668	810
avibase-42D3918F	809
avibase-4C428439	807
avibase-2E6575A8	807
avibase-2B55E679	799
avibase-7EF4C99C	795
avibase-5A94FEAE	795
avibase-6F967270	790
avibase-FC6A9CD0	788
avibase-06B9BD24	788
avibase-5C54F8C9	787
avibase-DA3F40DB	786
avibase-65393B92	785
avibase-37D0D696	783
avibase-8852337B	779
avibase-C978ABCC	778
avibase-36C0242E	778
avibase-78F55CF1	777
avibase-0E9C6F45	769
avibase-72CAA64D	761
avibase-870E4DDA	756
avibase-EA326EA2	750
avibase-46A1FC77	749
avibase-2F66131B	739
avibase-7D340BF9	724
avibase-6D72B23C	715
avibase-5A58B69A	715
avibase-4A58452B	709
avibase-2379E3EB	708
avibase-A6A4FC63	699
avibase-19D053B3	696
avibase-6091E70B	694
avibase-26F27894	694
avibase-77F0C62C	691
avibase-02AD152F	686
avibase-47E58408	684
avibase-842FF43C	676
avibase-7516E687	675
avibase-4713982B	674
avibase-DC8CC91D	668
avibase-93EC5E12	666
avibase-5B9EA71C	664
avibase-F0AA4FE4	662
avibase-201E1243	662
avibase-E11D6D66	657
avibase-BA63C545	655
avibase-D5846D2A	654
avibase-6EC66752	653
avibase-8EB0AB41	652
avibase-454B5CD5	651
avibase-9387DC41	650
avibase-95F08BC3	645
avibase-10B14696	643
avibase-95A02709	641
avibase-7C7F0DEE	638
