SEQ,common_name,scientific_name,ADU,avibase_id,avilist_common_name,avilist_scientific_name,avilist_sort,avilist_members,ebird_code,checklist_family,order,birdlife_url,n_avilist_species,endemic,afrotropical,palearctic,waterbird,mass,habitat,habitat_density,migration,trophic_level,trophic_niche,primary_lifestyle,range_size,flag,comment,IUCN,old,new,lost,kept,gain,lost_score,gain_score
17,Pink-backed Pelican,Pelecanus rufescens,41,avibase-8D24E93C,Pink-backed Pelican,Pelecanus rufescens,5236,Pelecanus rufescens,pibpel1,"Pelicans",Pelecaniformes,https://datazone.birdlife.org/species/factsheet/22697595,1,0,0,0,1,5419.6,Wetland,3,1,Carnivore,Aquatic predator,Aquatic,14141336.63,,,Least Concern,53,52,14,39,13,14.0284743288635,12.4292967587079
18,Red-footed Booby,Sula sula,1027,avibase-0A4609D1,Red-footed Booby,Sula sula,5030,Sula sula,refboo,"Boobies and Gannets",Suliformes,https://datazone.birdlife.org/species/factsheet/22696694,1,0,0,0,0,1031.1,Marine,3,2,Carnivore,Aquatic predator,Aerial,122459893.2,,,Least Concern,3,0,3,0,0,2.87360672495564,0
19,Masked Booby,Sula dactylatra,45,avibase-22D1B4A2,Masked Booby,Sula dactylatra,5041,Sula dactylatra,masboo,"Boobies and Gannets",Suliformes,https://datazone.birdlife.org/species/factsheet/22736173,1,0,0,0,1,1732.1,Marine,3,2,Carnivore,Aquatic predator,Aerial,130196617.9,,,Least Concern,4,1,3,1,0,2.89192567622228,0
20,Brown Booby,Sula leucogaster,46,avibase-05520B42,Brown Booby,Sula leucogaster,5034,Sula leucogaster,brnboo,"Boobies and Gannets",Suliformes,,1,0,0,0,1,1288.8,Marine,3,2,Carnivore,Aquatic predator,Aerial,26818777.48,,,Not Evaluated,2,0,2,0,0,1.91393696317012,0
21,Great Cormorant,Phalacrocorax carbo,9638,avibase-3DF5C587,Great Cormorant,Phalacrocorax carbo,5124,Phalacrocorax carbo,grecor,"Cormorants and Shags",Suliformes,https://datazone.birdlife.org/species/factsheet/22696792,1,0,0,0,1,2529,Wetland,3,2,Carnivore,Aquatic predator,Aquatic,24540701.98,,,Least Concern,34,47,7,27,20,6.93993603470812,19.1543094045687
22,Long-tailed Cormorant,Phalacrocorax africanus,50,avibase-E255DCE1,Reed Cormorant,Microcarbo africanus,5066,Microcarbo africanus,lotcor1,"Cormorants and Shags",Suliformes,https://datazone.birdlife.org/species/factsheet/22696725,1,0,0,0,1,47.3,Wetland,2,1,Carnivore,Invertivore,Insessorial,595112.59,,,Least Concern,55,73,7,48,25,6.80771905691223,24.0212583078076
23,African Darter,Anhinga rufa,52,avibase-5C7936A7,African Darter,Anhinga rufa,5059,Anhinga rufa,darter3,"Anhinga and Darters",Suliformes,https://datazone.birdlife.org/species/factsheet/22696705,1,0,0,0,1,1480.1,Wetland,3,1,Carnivore,Aquatic predator,Aquatic,17976599.63,,,Least Concern,51,47,16,35,12,15.7543676056342,11.316674785172
24,Greater Frigatebird,Fregata minor,53,avibase-788EBCAB,Great Frigatebird,Fregata minor,5016,Fregata minor,grefri,"Frigatebirds",Suliformes,https://datazone.birdlife.org/species/factsheet/22697733,1,0,0,0,1,1274.7,Marine,3,3,Carnivore,Aquatic predator,Aerial,24816.16,"This species is prone to misidentification and its maps might be affected by error.",,Least Concern,1,2,1,0,2,1.04737065643645,1.91393696317012
25,Lesser Frigatebird,Fregata ariel,1013,avibase-09ED7E92,Lesser Frigatebird,Fregata ariel,5009,Fregata ariel,lesfri,"Frigatebirds",Suliformes,https://datazone.birdlife.org/species/factsheet/22697738,1,0,0,0,0,804.3,Marine,3,3,Carnivore,Aquatic predator,Aerial,94658392.52,"This species is prone to misidentification and its maps might be affected by error.",,Least Concern,0,2,0,0,2,0,1.92151876746552
26,Dwarf Bittern,Ixobrychus sturmii,66,avibase-87EEBD3E,Dwarf Bittern,Botaurus sturmii,5285,Botaurus sturmii,dwabit1,"Herons, Egrets, and Bitterns",Pelecaniformes,https://datazone.birdlife.org/species/factsheet/22697327,1,0,0,0,1,140,Wetland,1,1,Carnivore,Aquatic predator,Terrestrial,12872490.53,,,Least Concern,32,26,19,13,13,18.7227364957507,12.2734834825661
27,Little Bittern,Ixobrychus minutus,67,avibase-7AAD57AC,Little Bittern,Botaurus minutus,5286,Botaurus minutus,litbit1,"Herons, Egrets, and Bitterns",Pelecaniformes,https://datazone.birdlife.org/species/factsheet/22735766,1,0,0,0,1,99.5,Wetland,1,3,Carnivore,Aquatic predator,Terrestrial,27683039.02,,,Least Concern,26,31,11,15,16,10.8549770425769,15.2650065367236
