SEQ,common_name,scientific_name,ADU,avibase_id,avilist_common_name,avilist_scientific_name,avilist_sort,avilist_members,ebird_code,checklist_family,order,birdlife_url,n_avilist_species,endemic,afrotropical,palearctic,waterbird,mass,habitat,habitat_density,migration,trophic_level,trophic_niche,primary_lifestyle,range_size,flag,comment,IUCN,old,new,lost,kept,gain,lost_score,gain_score
233,Caspian Plover,Charadrius asiaticus,240,avibase-264D0351,Caspian Plover,Anarhynchus asiaticus,3906,Anarhynchus asiaticus,casplo1,"Plovers and Lapwings",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693868,1,0,0,1,1,77.1,Desert,3,3,Carnivore,Omnivore,Terrestrial,2844122.74,,"CJ: Probably a true indication of a decline - though the northern squares have probably not been covered v well, I'd suspect",Least Concern,40,24,22,18,6,21.6394547652696,5.72969202592987
234,Kittlitz's Plover,Charadrius pecuarius,237,avibase-0F0DCC2F,Kittlitz's Plover,Anarhynchus pecuarius,3936,Anarhynchus pecuarius,kitplo1,"Plovers and Lapwings",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693793,1,0,0,0,1,34,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,16351827.57,,,Least Concern,37,57,8,29,28,7.84269723817221,26.7556201076478
235,Three-banded Plover,Charadrius tricollaris,238,avibase-8DAF86A1,Three-banded Plover,Thinornis tricollaris,3849,Thinornis tricollaris,thbplo1,"Plovers and Lapwings",Charadriiformes,,1,0,0,0,1,31.2,Wetland,3,1,Carnivore,Aquatic predator,Terrestrial,9221083.48,,,Not Evaluated,76,75,16,60,15,16.2039986026582,14.6065208457452
236,Red Knot,Calidris canutus,254,avibase-B5CE8FAD,Red Knot,Calidris canutus,4144,Calidris canutus,redkno,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693363,1,0,0,0,1,141.9,Coastal,3,3,Carnivore,Aquatic predator,Terrestrial,1604194.57,,,Near Threatened,1,0,1,0,0,0.959669761785512,0
237,Sanderling,Calidris alba,255,avibase-06B9BD24,Sanderling,Calidris alba,4165,Calidris alba,sander,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693369,1,0,0,1,1,51.7,Coastal,3,3,Carnivore,Aquatic predator,Terrestrial,1344741.13,,,Least Concern,22,14,14,8,6,13.8207110933005,5.68683659698553
238,Red-necked Stint,Calidris ruficollis,897,avibase-BBDF2F1B,Red-necked Stint,Calidris ruficollis,4161,Calidris ruficollis,rensti,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693383,1,0,0,0,1,26.8,Grassland,3,3,Carnivore,Aquatic predator,Terrestrial,971179.99,"This species is prone to misidentification and its maps might be affected by error.",,Near Threatened,0,1,0,0,1,0,0.974821075487656
239,Little Stint,Calidris minuta,253,avibase-9936FF4A,Little Stint,Calidris minuta,4189,Calidris minuta,litsti,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693379,1,0,0,1,1,21.1,Grassland,3,3,Carnivore,Aquatic predator,Terrestrial,1734619.92,,,Least Concern,61,63,14,47,16,14.0087998963192,15.3531264618295
240,Temminck's Stint,Calidris temminckii,985,avibase-5ACF7FB3,Temminck's Stint,Calidris temminckii,4162,Calidris temminckii,temsti,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693388,1,0,0,1,1,23,Grassland,3,3,Carnivore,Aquatic predator,Terrestrial,3436316.19,,,Least Concern,24,17,13,11,6,12.5830803063663,5.73926602911656
241,Long-toed Stint,Calidris subminuta,972,avibase-7D629288,Long-toed Stint,Calidris subminuta,4163,Calidris subminuta,lotsti,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693392,1,0,0,0,1,30.2,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,316107.68,"This species is prone to misidentification and its maps might be affected by error.",,Least Concern,3,0,3,0,0,2.87807868494766,0
242,Pectoral Sandpiper,Calidris melanotos,895,avibase-ACC99F35,Pectoral Sandpiper,Calidris melanotos,4186,Calidris melanotos,pecsan,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693408,1,0,0,0,1,79.7,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,2362488.1,,,Least Concern,1,1,1,0,1,0.959669761785512,0.919179037491431
243,Curlew Sandpiper,Calidris ferruginea,251,avibase-143A681C,Curlew Sandpiper,Calidris ferruginea,4158,Calidris ferruginea,cursan,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693431,1,0,0,1,1,58.1,Coastal,3,3,Carnivore,Aquatic predator,Terrestrial,1198699.06,,,Vulnerable,46,40,13,33,7,12.95737083913,6.61803601794608
244,Dunlin,Calidris alpina,896,avibase-15369E8E,Dunlin,Calidris alpina,4168,Calidris alpina,dunlin,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693427,1,0,0,1,1,51.9,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,4754236.34,"This species is prone to misidentification and its maps might be affected by error.",,Near Threatened,1,2,1,0,2,0.952503076056223,1.88350269493566
245,Broad-billed Sandpiper,Limicola falcinellus,981,avibase-0A14882F,Broad-billed Sandpiper,Calidris falcinellus,4155,Calidris falcinellus,brbsan,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693464,1,0,0,1,1,37.1,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,1005823.74,,,Vulnerable,7,3,5,2,1,4.89363333463643,0.977988713052154
246,Buff-breasted Sandpiper,Tryngites subruficollis,926,avibase-3A3C62BC,Buff-breasted Sandpiper,Calidris subruficollis,4164,Calidris subruficollis,bubsan,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693447,1,0,0,0,1,62.1,Grassland,3,3,Carnivore,Omnivore,Terrestrial,642423.52,,,Vulnerable,1,0,1,0,0,1.0381696707638,0
247,Ruff,Philomachus pugnax,256,avibase-2DABF98F,Ruff,Calidris pugnax,4153,Calidris pugnax,ruff,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693468,1,0,0,1,1,131.7,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,8562266.88,,,Least Concern,51,54,13,38,16,12.8919710309096,15.3714200660048
248,Jack Snipe,Lymnocryptes minimus,1988,avibase-1A15F0C6,Jack Snipe,Lymnocryptes minimus,4049,Lymnocryptes minimus,jacsni,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693133,1,0,0,1,1,50.1,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,7671774.57,,"CJ: Sho!! What has happened to this species?! Probably overlooked, but all the same you'd expect at least SOME records if they were around…",Least Concern,5,0,5,0,0,4.82988012023009,0
249,Common Snipe,Gallinago gallinago,957,avibase-9151E0BA,Common Snipe,Gallinago gallinago,4091,Gallinago gallinago,comsni,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693097,1,0,0,1,1,112.9,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,20105909.91,"This species is prone to misidentification and its maps might be affected by error.",,Least Concern,44,45,17,27,18,16.8280910148237,17.2186657239205
250,African Snipe,Gallinago nigripennis,250,avibase-831FC147,African Snipe,Gallinago nigripennis,4086,Gallinago nigripennis,afrsni1,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693102,1,0,0,0,1,112,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,5609482.86,"This species is prone to misidentification and its maps might be affected by error.",,Least Concern,23,19,11,12,7,11.0031994519072,6.71181483731261
251,Great Snipe,Gallinago media,249,avibase-BCCD5840,Great Snipe,Gallinago media,4081,Gallinago media,gresni1,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693093,1,0,0,1,1,170,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,7813688.34,,"CJ: As per Jack Snipe",Near Threatened,16,4,14,2,2,13.5397180510913,1.8659544264161
252,Pintail Snipe,Gallinago stenura,1984,avibase-EE61E2CA,Pin-tailed Snipe,Gallinago stenura,4083,Gallinago stenura,pitsni,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693085,1,0,0,0,1,113,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,8781511.92,,"CJ: As per Jack Snipe",Least Concern,3,0,3,0,0,2.88277071891272,0
254,Black-tailed Godwit,Limosa limosa,265,avibase-454B5CD5,Black-tailed Godwit,Limosa limosa,4032,Limosa limosa,bktgod,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693150,1,0,0,1,1,288.4,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,10058061.19,,,Near Threatened,19,22,5,14,8,4.86162255157359,7.67389089949872
255,Bar-tailed Godwit,Limosa lapponica,266,avibase-9A684C99,Bar-tailed Godwit,Limosa lapponica,4026,Limosa lapponica,batgod,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693158,1,0,0,1,1,291.7,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,1469087.3,,,Near Threatened,10,11,2,8,3,1.91922559478153,2.93911157628546
256,Whimbrel,Numenius phaeopus,268,avibase-082F3A63,Eurasian Whimbrel,Numenius phaeopus,4012,Numenius phaeopus,whimbr5,"Sandpipers and Allies",Charadriiformes,,1,0,0,1,1,364.6,Grassland,3,3,Carnivore,Omnivore,Terrestrial,4802995.65,,,Not Evaluated,14,11,4,10,1,3.87910433271878,0.939260714274992
257,Curlew,Numenius arquata,267,avibase-3BB5CBA6,Eurasian Curlew,Numenius arquata,4021,Numenius arquata,eurcur,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693190,1,0,0,1,1,803,Grassland,3,3,Carnivore,Aquatic predator,Terrestrial,12491410.25,,,Near Threatened,18,14,9,9,5,8.93157974966765,4.79001992932408
258,Spotted Redshank,Tringa erythropus,260,avibase-0895DD84,Spotted Redshank,Tringa erythropus,4130,Tringa erythropus,spored,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693207,1,0,0,1,1,158,Grassland,3,3,Carnivore,Aquatic predator,Terrestrial,3716042.92,,"CJ: interesting that there is a 'decline' - I suspect this is a real one",Least Concern,36,18,21,15,3,20.5459441520298,2.90773615978678
259,Redshank,Tringa totanus,261,avibase-D6BFC73A,Common Redshank,Tringa totanus,4118,Tringa totanus,comred1,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693211,1,0,0,1,1,129,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,19709237.23,,,Least Concern,18,9,12,6,3,11.7614944267409,2.87664663768335
260,Marsh Sandpiper,Tringa stagnatilis,262,avibase-15CF9352,Marsh Sandpiper,Tringa stagnatilis,4116,Tringa stagnatilis,marsan,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693216,1,0,0,1,1,77.5,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,7597346.84,,,Least Concern,57,60,14,43,17,13.975948989807,16.1662668500796
261,Greenshank,Tringa nebularia,263,avibase-18B415D2,Common Greenshank,Tringa nebularia,4131,Tringa nebularia,comgre,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693220,1,0,0,1,1,187,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,12134126.53,,,Least Concern,75,70,14,61,9,14.1393622041522,8.59292572471191
262,Green Sandpiper,Tringa ochropus,259,avibase-A7B17EFC,Green Sandpiper,Tringa ochropus,4110,Tringa ochropus,grnsan,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693243,1,0,0,1,1,71.4,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,15230538.62,,,Least Concern,70,73,14,56,17,14.0462252829876,16.4210127534295
263,Wood Sandpiper,Tringa glareola,264,avibase-8E67DC5F,Wood Sandpiper,Tringa glareola,4117,Tringa glareola,woosan,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693247,1,0,0,1,1,62.1,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,16979550.25,,,Least Concern,77,80,12,65,15,12.2521817477665,14.6124114757865
264,Terek Sandpiper,Xenus cinereus,257,avibase-6D5992EE,Terek Sandpiper,Xenus cinereus,4101,Xenus cinereus,tersan,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693251,1,0,0,1,1,78.8,Grassland,3,3,Carnivore,Aquatic predator,Terrestrial,11623048.49,,,Least Concern,21,12,13,8,4,12.6900022065497,3.81929279340512
265,Common Sandpiper,Actitis hypoleucos,258,avibase-8548B07E,Common Sandpiper,Actitis hypoleucos,4103,Actitis hypoleucos,comsan,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693264,1,0,0,1,1,48,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,25847437.41,,,Least Concern,90,89,13,77,12,13.170467407548,11.8838870134834
266,Turnstone,Arenaria interpres,232,avibase-DC3050A9,Ruddy Turnstone,Arenaria interpres,4140,Arenaria interpres,rudtur,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693336,1,0,0,1,1,136,Coastal,3,3,Carnivore,Aquatic predator,Terrestrial,2619753.6,,,Near Threatened,17,12,8,9,3,7.91386369727318,2.97137858211699
267,Black-winged Stilt,Himantopus himantopus,270,avibase-3CAEB7CE,Black-winged Stilt,Himantopus himantopus,3782,Himantopus himantopus,bkwsti,"Stilts and Avocets",Charadriiformes,,1,0,0,0,1,176.8,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,56867877.55,,,Not Evaluated,68,74,14,54,20,14.2326065357212,19.1944889169941
268,Avocet,Recurvirostra avosetta,269,avibase-C73ED2F5,Pied Avocet,Recurvirostra avosetta,3773,Recurvirostra avosetta,pieavo1,"Stilts and Avocets",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693712,1,0,0,0,1,304,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,17136961.53,,,Least Concern,26,32,9,17,15,8.80213804869552,14.5478656414902
269,Red-necked Phalarope,Phalaropus lobatus,272,avibase-E6F3BA54,Red-necked Phalarope,Phalaropus lobatus,4108,Phalaropus lobatus,renpha,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693490,1,0,0,1,1,36.7,Wetland,3,3,Carnivore,Aquatic predator,Terrestrial,9098836.74,,,Least Concern,10,9,6,4,5,5.84715893703143,4.73680013353624
270,Grey Phalarope,Phalaropus fulicarius,271,avibase-18A19380,Red Phalarope,Phalaropus fulicarius,4107,Phalaropus fulicarius,redpha1,"Sandpipers and Allies",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693494,1,0,0,0,1,55.6,Marine,3,3,Carnivore,Aquatic predator,Terrestrial,3783736.3,,,Least Concern,1,0,1,0,0,0.952503076056223,0
271,Crab-plover,Dromas ardeola,273,avibase-C3E33FEB,Crab-plover,Dromas ardeola,4260,Dromas ardeola,craplo1,"Crab-Plover",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694081,1,0,1,0,1,325,Coastal,3,1,Carnivore,Aquatic predator,Terrestrial,318985.68,,"CJ: decline surely due to lack of atlassing in the 'red' squares",Least Concern,9,6,4,5,1,3.97822887917139,0.922516575859499
272,Stone Curlew,Burhinus oedicnemus,1998,avibase-C7DB323E,Eurasian Stone-curlew,Burhinus oedicnemus,3760,Burhinus oedicnemus,eutkne1,"Thick-knees and Stone-curlews",Charadriiformes,https://datazone.birdlife.org/species/factsheet/45111439,1,0,0,1,1,459,Grassland,3,3,Carnivore,Invertivore,Terrestrial,9168330.74,"This species is prone to misidentification and its maps might be affected by error.","CJ: Almost certainly seriously overlooked",Least Concern,10,2,8,2,0,7.7529759178549,0
273,Senegal Thick-knee,Burhinus senegalensis,2000,avibase-85DF723B,Senegal Thick-knee,Burhinus senegalensis,3758,Burhinus senegalensis,setkne1,"Thick-knees and Stone-curlews",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693580,1,0,0,0,1,326,Wetland,3,1,Carnivore,Invertivore,Terrestrial,7037522.76,,,Least Concern,7,10,2,5,5,2.03358578586494,4.81141968321665
274,Water Thick-knee,Burhinus vermiculatus,274,avibase-96CCAFEE,Water Thick-knee,Burhinus vermiculatus,3755,Burhinus vermiculatus,watkne1,"Thick-knees and Stone-curlews",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693584,1,0,0,0,1,320,Wetland,3,1,Carnivore,Invertivore,Terrestrial,5802844.89,,,Least Concern,37,57,6,31,26,5.8625042319018,25.2188455945213
275,Spotted Thick-knee,Burhinus capensis,275,avibase-862F6F04,Spotted Thick-knee,Burhinus capensis,3750,Burhinus capensis,sptkne1,"Thick-knees and Stone-curlews",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22693589,1,0,0,0,1,423,Shrubland,3,1,Carnivore,Invertivore,Terrestrial,12421028.77,,,Least Concern,49,61,13,36,25,13.2951141157772,24.1859345067761
276,Egyptian Plover,Pluvianus aegyptius,2032,avibase-1B28A4B6,Egyptian Plover,Pluvianus aegyptius,3768,Pluvianus aegyptius,egyplo1,"Egyptian Plover",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694086,1,0,0,0,0,82,Wetland,3,2,Carnivore,Aquatic predator,Terrestrial,5977374.57,"Species not recorded during both the old and new atlas, but recorded in Kenya.",,Least Concern,0,0,0,0,0,0,0
277,Cream-coloured Courser,Cursorius cursor,2026,avibase-6091E70B,Somali Courser,Cursorius somalensis,4291,Cursorius somalensis,somcou1,"Coursers and Pratincoles",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22732297,1,0,0,0,0,138,Desert,3,1,Carnivore,Invertivore,Terrestrial,1128378.41,,,Least Concern,26,24,11,15,9,10.864371090601,8.7544503213945
278,Temminck's Courser,Cursorius temminckii,277,avibase-7A841F83,Temminck's Courser,Cursorius temminckii,4282,Cursorius temminckii,temcou1,"Coursers and Pratincoles",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694120,1,0,0,0,0,69.2,Grassland,3,1,Carnivore,Invertivore,Terrestrial,10871643.44,,,Least Concern,37,39,15,22,17,14.9129015615945,16.267754765723
279,Two-banded Courser,Rhinoptilus africanus,278,avibase-C130193B,Double-banded Courser,Smutsornis africanus,4263,Smutsornis africanus,dobcou2,"Coursers and Pratincoles",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694091,1,0,0,0,0,87.5,Desert,3,1,Carnivore,Invertivore,Terrestrial,2999057.71,,,Least Concern,17,22,5,12,10,5.15978476145954,9.66556109974961
280,Heuglin's Courser,Rhinoptilus cinctus,279,avibase-29D50ED5,Three-banded Courser,Rhinoptilus cinctus,4275,Rhinoptilus cinctus,thbcou1,"Coursers and Pratincoles",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694099,1,0,0,0,0,105,Shrubland,3,1,Carnivore,Invertivore,Terrestrial,1957707.6,,,Least Concern,35,39,11,24,15,11.2241475705394,14.4114934605765
281,Violet-tipped Courser,Rhinoptilus chalcopterus,280,avibase-F5145338,Bronze-winged Courser,Rhinoptilus chalcopterus,4273,Rhinoptilus chalcopterus,brwcou1,"Coursers and Pratincoles",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694095,1,0,1,0,0,150,Woodland,3,1,Carnivore,Invertivore,Terrestrial,10146624.15,,,Least Concern,12,10,10,2,8,9.71560857307337,7.61692398661475
282,Common Pratincole,Glareola pratincola,281,avibase-D56ABB4E,Collared Pratincole,Glareola pratincola,4305,Glareola pratincola,colpra,"Coursers and Pratincoles",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694127,1,0,0,0,1,84.9,Grassland,3,3,Carnivore,Invertivore,Aerial,5351786.34,,,Least Concern,26,38,6,20,18,5.81166568695912,17.469024777193
283,Black-winged Pratincole,Glareola nordmanni,282,avibase-E1F6A875,Black-winged Pratincole,Glareola nordmanni,4304,Glareola nordmanni,blwpra1,"Coursers and Pratincoles",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694136,1,0,0,1,1,97.2,Grassland,3,3,Carnivore,Invertivore,Aerial,2251795.82,,,Near Threatened,2,4,2,0,4,2.00574879083247,3.86836677092046
284,White-collared Pratincole,Glareola nuchalis,283,avibase-95820ED1,Rock Pratincole,Glareola nuchalis,4297,Glareola nuchalis,rocpra1,"Coursers and Pratincoles",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694144,1,0,0,0,1,62.7,Rock,3,2,Carnivore,Invertivore,Aerial,6244433.49,,,Least Concern,2,3,1,1,2,0.990573237446677,1.95173322804958
285,Madagascar Pratincole,Glareola ocularis,898,avibase-AC0F25BB,Madagascar Pratincole,Glareola ocularis,4296,Glareola ocularis,madpra1,"Coursers and Pratincoles",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694140,1,0,0,0,1,91.9,Coastal,3,3,Carnivore,Invertivore,Aerial,545354.28,,,Near Threatened,8,5,4,4,1,3.79612330081513,0.919179037491431
287,Pomarine Skua,Stercorarius pomarinus,285,avibase-7CB8F5B7,Pomarine Jaeger,Stercorarius pomarinus,4314,Stercorarius pomarinus,pomjae,"Jaegers and Skuas",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694240,1,0,0,0,0,692.5,Marine,3,3,Carnivore,Aquatic predator,Aerial,3233984.08,,,Least Concern,1,0,1,0,0,0.959669761785512,0
288,Arctic Skua,Stercorarius parasiticus,284,avibase-39086887,Parasitic Jaeger,Stercorarius parasiticus,4310,Stercorarius parasiticus,parjae,"Jaegers and Skuas",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694245,1,0,0,0,0,444.3,Marine,3,3,Carnivore,Aquatic predator,Aerial,6277591.31,,,Least Concern,0,1,0,0,1,0,0.952087957490116
289,Long-tailed Skua,Stercorarius longicaudus,930,avibase-1D446440,Long-tailed Jaeger,Stercorarius longicaudus,4311,Stercorarius longicaudus,lotjae,"Jaegers and Skuas",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694251,1,0,0,0,0,287.9,Marine,3,3,Carnivore,Aquatic predator,Aerial,6233403.78,,,Least Concern,1,0,1,0,0,0.974821075487656,0
290,Sooty Gull,Larus hemprichii,2058,avibase-67D43542,Sooty Gull,Ichthyaetus hemprichii,4582,Ichthyaetus hemprichii,soogul2,"Skimmers, Noddies, Terns, and Gulls",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694303,1,0,0,0,1,451.7,Marine,3,1,Omnivore,Omnivore,Terrestrial,157820.35,,,Least Concern,10,8,2,8,0,2.14391291400041,0
291,White-eyed Gull,Larus leucophthalmus,900,avibase-A7F240E3,White-eyed Gull,Ichthyaetus leucophthalmus,4581,Ichthyaetus leucophthalmus,whegul2,"Skimmers, Noddies, Terns, and Gulls",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694299,1,0,0,0,1,328.9,Coastal,3,1,Carnivore,Aquatic predator,Generalist,1402.69,"Species not recorded during both the old and new atlas, but recorded in Kenya. This species is prone to misidentification and its maps might be affected by error.",,Least Concern,0,0,0,0,0,0,0
292,Great Black-headed Gull,Larus ichthyaetus,2062,avibase-EF930CDC,Pallas's Gull,Ichthyaetus ichthyaetus,4577,Ichthyaetus ichthyaetus,gbhgul2,"Skimmers, Noddies, Terns, and Gulls",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694379,1,0,0,1,1,1378.8,Coastal,3,3,Omnivore,Omnivore,Generalist,739530.35,"This species is prone to misidentification and its maps might be affected by error.",,Least Concern,3,0,3,0,0,2.94186472209181,0
295,Black-headed Gull,Larus ridibundus,933,avibase-FB02DD96,Black-headed Gull,Chroicocephalus ridibundus,4555,Chroicocephalus ridibundus,bkhgul,"Skimmers, Noddies, Terns, and Gulls",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694420,1,0,0,1,1,284,Wetland,3,2,Carnivore,Aquatic predator,Generalist,17767358.5,,"CJ: Yes, this has definitely declined. I don't think the difficulty of ID is the reason ",Least Concern,29,16,17,12,4,16.7419125213988,3.77913409142784
296,Grey-headed Gull,Larus cirrocephalus,288,avibase-6EB497FA,Grey-headed Gull,Chroicocephalus cirrocephalus,4558,Chroicocephalus cirrocephalus,grhgul,"Skimmers, Noddies, Terns, and Gulls",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694387,1,0,0,0,1,374.7,Wetland,3,1,Carnivore,Aquatic predator,Aerial,6411818.5,,,Least Concern,22,27,5,17,10,4.96729006514689,9.5383768479853
297,Slender-billed Gull,Larus genei,1078,avibase-27CE7132,Slender-billed Gull,Chroicocephalus genei,4553,Chroicocephalus genei,slbgul1,"Skimmers, Noddies, Terns, and Gulls",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694428,1,0,0,1,1,281,Coastal,3,2,Carnivore,Aquatic predator,Generalist,1728211.09,,,Least Concern,4,6,2,2,4,2.05621201934947,3.8348602619807
298,Lesser Black-backed Gull,Larus fuscus,4136,avibase-2D52E3A5,Lesser Black-backed Gull,Larus fuscus,4624,Larus fuscus,lbbgul,"Skimmers, Noddies, Terns, and Gulls",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694373,1,0,0,0,1,762.4,Coastal,3,2,Carnivore,Aquatic predator,Generalist,4200335.24,"Records in the old atlas of Lesser Black-backed Gull and Herring Gull are lumped. This species is prone to misidentification and its maps might be affected by error.",,Least Concern,22,16,9,13,3,8.93701898889266,2.78901099537938
300,Kelp Gull,Larus dominicanus,287,avibase-E6536E4E,Kelp Gull,Larus dominicanus,4602,Larus dominicanus,kelgul,"Skimmers, Noddies, Terns, and Gulls",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694329,1,0,0,0,1,952.4,Marine,3,1,Carnivore,Omnivore,Generalist,3780207.34,"Species not recorded during both the old and new atlas, but recorded in Kenya. This species is prone to misidentification and its maps might be affected by error.",,Least Concern,0,0,0,0,0,0,0
301,Gull-billed Tern,Gelochelidon nilotica,902,avibase-87168739,Gull-billed Tern,Gelochelidon nilotica,4466,Gelochelidon nilotica,gubter2,"Skimmers, Noddies, Terns, and Gulls",Charadriiformes,https://datazone.birdlife.org/species/factsheet/62026481,1,0,0,1,1,218.3,Coastal,3,3,Carnivore,Omnivore,Aerial,7524091.88,,,Least Concern,28,41,3,25,16,3.0719572246257,15.2271601683136
302,Caspian Tern,Sterna caspia,290,avibase-BC06BC0D,Caspian Tern,Hydroprogne caspia,4463,Hydroprogne caspia,caster1,"Skimmers, Noddies, Terns, and Gulls",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694524,1,0,0,1,1,655,Wetland,3,3,Carnivore,Aquatic predator,Aerial,6293644.91,,,Least Concern,16,16,5,11,5,4.97857911388856,4.75228795295609
303,Crested Tern,Sterna bergii,298,avibase-526978C4,Greater Crested Tern,Thalasseus bergii,4491,Thalasseus bergii,grcter1,"Skimmers, Noddies, Terns, and Gulls",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694571,1,0,0,0,1,328,Coastal,3,3,Carnivore,Aquatic predator,Aerial,47808630.76,,,Least Concern,7,7,1,6,1,1.09654225756396,0.922516575859499
304,Lesser Crested Tern,Sterna bengalensis,297,avibase-D01CDECD,Lesser Crested Tern,Thalasseus bengalensis,4498,Thalasseus bengalensis,lecter2,"Skimmers, Noddies, Terns, and Gulls",Charadriiformes,https://datazone.birdlife.org/species/factsheet/22694561,1,0,1,0,1,209,Coastal,3,3,Carnivore,Aquatic predator,Aerial,1690030.71,,,Least Concern,13,9,5,8,1,5.10588792761259,0.961251951447203
