Ref,SEQ,Common name,Scientific name,z1,z2,z3,z4,z5,z6,QDGCs,,,,, 
501,558,Red-breasted Swallow,Hirundo semirufa,15.2,18,24.9,17.5,14.1,10.3,639,,,,,
499,561,Grey-rumped Swallow,Pseudhirundo griseopyga,7.8,14.4,23.3,26.7,13.3,14.4,90,,,,,
498,,Pearl-breasted Swallow,Hirundo dimidiata,6.1,11.2,23.2,23.2,18.8,17.5,607,,,,,
496,552,Wire-tailed Swallow,Hirundo smithii,12.9,8.8,20.1,18.6,16,23.7,194,,,,,
495,,White-throated Swallow,Hirundo albigularis,7.7,12.3,20,21,17.5,21.5,1197,,,,,
493,553,Barn Swallow,Hirundo rustica,6.2,11.2,20.4,26,17.8,18.4,1425,,,,,
490,,Pink-billed Lark,Spizocorys conirostris,10.1,21,29.6,16.9,16.9,5.6,338,,,,,
488,540,Red-capped Lark,Calandrella cinerea,11.7,14.6,20.6,21,15.2,16.9,1120,,,,,
486,,Black-eared Sparrowlark,Eremopterix australis,5.1,19.7,26.3,25.5,19,4.4,137,,,,,
485,,Grey-backed Sparrowlark,Eremopterix verticalis,10.6,23.1,30.1,19.4,11.1,5.8,624,,,,,
484,547,Chestnut-backed Sparrowlark,Eremopterix leucotis,16.1,19.7,30.7,17,11,5.5,417,,,,,
474,537,Spike-heeled Lark,Chersomanes albofasciata,18.2,16.6,20.8,18.2,13.8,12.2,817,,,,,
468,529,Flappet Lark,Mirafra rufocinnamomea,17.7,23.1,19.7,25.9,8.2,5.4,147,,,,,
465,,Short-clawed Lark,Certhilauda chuana,3.5,14,31.6,17.5,17.5,15.8,57,,,,,
464,,Dusky Lark,Pinarocorys nigricans,4.2,19.4,18.1,36.1,19.4,2.8,72,,,,,
463,,Large-billed Lark,Galerida magnirostris,11.6,13.7,22.7,19.7,17.6,14.8,534,,,,,
461,,Karoo Lark,Calendulauda albescens,10,12.6,20.1,27.6,20.9,8.8,239,,,,,
460,,Sabota Lark,Calendulauda sabota,10.1,13.2,20.3,21,17.5,17.8,779,,,,,
459,526,Fawn-coloured Lark,Calendulauda africanoides,2.1,9.9,20.2,20.9,22.3,24.5,282,,,,,
458,531,Rufous-naped Lark,Mirafra africana,7.7,11.1,18.3,19.9,15.7,27.4,874,,,,,
457,,Monotonous Lark,Mirafra passerina,10.7,16.7,20.7,27.3,19.3,5.3,150,,,,,
456,0,Melodious Lark,Mirafra cheniana,2.6,13.7,25.2,19.2,26.1,13.3,234,,,,,
453,510,Red-throated Wryneck,Jynx ruficollis,10.9,9.9,18.3,14.8,19.9,26.2,553,,,,,
452,,Olive Woodpecker,Dendropicos griseocephalus,12.5,11.9,22,18.4,15,20.2,327,,,,,
451,520,Bearded Woodpecker,Dendropicos namaquus,9.5,13.5,23.7,18.8,21.7,12.8,304,,,,,
450,519,Cardinal Woodpecker,Dendropicos fuscescens,10.6,11.1,20.6,20.3,21.5,15.9,1038,,,,,
448,,Knysna Woodpecker,Campethera notata,0.7,11.4,17.9,10.7,20,39.3,140,,,,,
447,513,Golden-tailed Woodpecker,Campethera abingoni,7.3,9.8,15.4,23,19.3,25.2,560,,,,,
446,,Bennett's Woodpecker,Campethera bennettii,10.9,22.5,26.5,22.5,12.9,4.8,147,,,,,
445,,Ground Woodpecker,Geocolaptes olivaceus,25.3,22.5,28.7,12.5,7.6,3.4,471,,,,,
443,509,Brown-backed Honeybird,Prodotiscus regulus,4.5,12.8,30.6,25.9,14.8,11.4,359,,,,,
442,501,Lesser Honeyguide,Indicator minor,6.2,11.1,23.6,22.6,21.4,15,791,,,,,
441,503,Scaly-throated Honeyguide,Indicator variegatus,11.3,14.2,24.5,19.1,16.2,14.7,204,,,,,
440,500,Greater Honeyguide,Indicator indicator,13.3,16.8,28.6,21.4,13.1,6.8,833,,,,,
439,,Crested Barbet,Trachyphonus vaillantii,12.2,9.1,14.4,16.3,16.5,31.5,822,,,,,
438,495,Yellow-rumped Tinkerbird,Pogoniulus bilineatus,14.3,8.9,9.8,15.2,18.8,33,112,,,,,
437,494,Yellow-fronted Tinkerbird,Pogoniulus chrysoconus,11.8,14.6,19.7,22.4,15.4,16.1,254,,,,,
436,493,Red-fronted Tinkerbird,Pogoniulus pusillus,17.7,11.7,18.1,13.3,14.5,24.6,248,,,,,
433,486,White-eared Barbet,Stactolaema leucotis,16.7,5.6,11.1,20.4,14.8,31.5,54,,,,,
432,,Acacia Pied Barbet,Tricholaema leucomelas,17.6,14.1,16.2,17.1,16.9,18.1,1254,,,,,
431,480,Black-collared Barbet,Lybius torquatus,17,10.1,14,14.5,16.9,27.5,759,,,,,
430,467,Southern Ground-Hornbill,Bucorvus leadbeateri,32.2,26.2,27.6,10.8,2.8,0.5,214,,,,,
427,474,Crowned Hornbill,Tockus alboterminatus,24.9,16.6,24.5,18.9,7.6,7.6,265,,,,,
426,,Southern Yellow-billed Hornbill,Tockus leucomelas,23,17.4,23.3,21.1,11.3,3.9,408,,,,,
424,475,African Grey Hornbill,Tockus nasutus,21.3,18.6,24.1,15.6,12.2,8.2,403,,,,,
422,466,Trumpeter Hornbill,Bycanistes bucinator,35.5,20.7,17,13.4,7.8,5.5,217,,,,,
421,462,Common Scimitarbill,Rhinopomastus cyanomelas,14,14.4,22.4,20.9,15.6,12.6,665,,,,,
419,459,Green Wood-Hoopoe,Phoeniculus purpureus,17.8,11.7,17.9,17.3,17.7,17.7,770,,,,,
418,458,African Hoopoe,Upupa africana,26.9,15.3,19.8,16.2,12,9.8,1351,,,,,
416,457,Broad-billed Roller,Eurystomus glaucurus,5,18.3,18.3,26.7,18.3,13.3,60,,,,,
415,456,Purple Roller,Coracias naevius,20.2,27.2,29.5,15.1,5.4,2.6,312,,,,,
413,455,Lilac-breasted Roller,Coracias caudatus,22.4,20.4,26.8,15.6,11,4,501,,,,,
412,454,European Roller,Coracias garrulus,8.8,18.6,34.7,22.7,12.2,3.1,617,,,,,
411,445,Swallow-tailed Bee-eater,Merops hirundineus,7.6,15.5,23.1,21.2,21.8,10.8,316,,,,,
410,442,Little Bee-eater,Merops pusillus,21.7,19,19.7,17.2,13.4,8.9,447,,,,,
409,441,White-fronted Bee-eater,Merops bullockoides,9.9,8,15.5,18.9,23.1,24.7,477,,,,,
407,452,Southern Carmine Bee-eater,Merops nubicoides,24.1,27.7,28.4,12.8,5,2.1,141,,,,,
405,447,Blue-cheeked Bee-eater,Merops persicus,4.7,16.5,29.9,18.9,20.5,9.4,127,,,,,
404,448,European Bee-eater,Merops apiaster,7.3,14.8,23.6,21.2,17.1,16,992,,,,,
403,438,Striped Kingfisher,Halcyon chelicuti,25.3,21.1,22.1,12.8,11.5,7.1,312,,,,,
402,437,Brown-hooded Kingfisher,Halcyon albiventris,21.2,13.7,20.1,16.4,13.6,14.9,876,,,,,
401,436,Grey-headed Kingfisher,Halcyon leucocephala,5.4,17.2,25.8,30.1,19.4,2.2,93,,,,,
399,439,Woodland Kingfisher,Halcyon senegalensis,4.6,11,13.3,27.8,24.3,19,263,,,,,
398,435,African Pygmy-Kingfisher,Ispidina picta,16.2,19.9,27,22,11.1,3.7,296,,,,,
397,434,Malachite Kingfisher,Alcedo cristata,15.9,18.3,23.3,21.2,14.2,7.2,1030,,,,,
396,432,Half-collared Kingfisher,Alcedo semitorquata,12.3,22.4,29.7,14,14.9,6.7,357,,,,,
395,430,Giant Kingfisher,Megaceryle maximus,26.4,19.3,23.2,18.3,7.7,5.2,964,,,,,
394,431,Pied Kingfisher,Ceryle rudis,28.8,18.5,23.4,14.6,9,5.7,1033,,,,,
393,428,Narina Trogon,Apaloderma narina,18.3,16.6,29,15.4,13.3,7.5,241,,,,,
392,,Red-faced Mousebird,Urocolius indicus,9.8,11.4,21,22.8,15.2,19.9,1284,,,,,
391,,White-backed Mousebird,Colius colius,15.5,11.3,21.4,20.2,16.1,15.6,833,,,,,
390,425,Speckled Mousebird,Colius striatus,17.1,11.1,17.8,18.8,17,18.2,1079,,,,,
387,415,African Palm-Swift,Cypsiurus parvus,4,3,8.2,19.2,24.2,41.3,693,,,,,
386,417,Alpine Swift,Tachymarptis melba,14.6,17.6,27.3,22.1,12.4,6.1,1009,,,,,
385,424,Little Swift,Apus affinis,13.5,12.7,22.8,20.8,14.7,15.6,1366,,,,,
384,423,Horus Swift,Apus horus,5.6,16.9,32.3,23.6,14.1,7.4,644,,,,,
383,422,White-rumped Swift,Apus caffer,6.8,10.6,19.6,21.2,19,22.6,1328,,,,,
381,,Bradfield's Swift,Apus bradfieldi,1.6,9.5,25.4,36.5,17.5,9.5,63,,,,,
380,419,African Black Swift,Apus barbatus,10.9,15.8,31.3,21.6,13.2,7.2,983,,,,,
378,418,Common Swift,Apus apus,4.2,13.4,33.5,21,19.2,8.7,620,,,,,
376,408,Square-tailed Nightjar,Caprimulgus fossii,23.7,24.7,30.9,9.3,7.2,4.1,97,,,,,
374,403,Freckled Nightjar,Caprimulgus tristigma,12.1,19.4,34.7,14.9,12.5,6.3,288,,,,,
373,397,Fiery-necked Nightjar,Caprimulgus pectoralis,27.8,18.9,22.5,13.2,12.1,5.5,672,,,,,
372,,Rufous-cheeked Nightjar,Caprimulgus rufigena,9.1,24.6,29,20.8,13.4,3.1,418,,,,,
371,401,European Nightjar,Caprimulgus europaeus,5.9,28.1,43.2,14.6,6.5,1.6,185,,,,,
369,387,Verreaux's Eagle-Owl,Bubo lacteus,21.1,18.4,26,17.3,14.6,2.7,185,,,,,
368,386,Spotted Eagle-Owl,Bubo africanus,24.6,20.4,25.9,15.8,9,4.3,1193,,,,,
367,385,Cape Eagle-Owl,Bubo capensis,14,21.2,44,8.4,10.4,2,250,,,,,
365,391,Pearl-spotted Owlet,Glaucidium perlatum,25.1,14.7,21.5,16.3,12.4,10.1,307,,,,,
364,384,Southern White-faced Scops-Owl,Ptilopsus granti,17.2,19.4,27.8,19.4,14.4,1.7,180,,,,,
363,382,African Scops-Owl,Otus senegalensis,19.1,21.8,30.7,14.2,9.3,4.9,225,,,,,
362,389,African Wood-Owl,Strix woodfordii,24.1,15.4,31.1,16.2,10.1,3.1,228,,,,,
361,394,Marsh Owl,Asio capensis,18.8,23.8,31.1,13.1,9.2,4,479,,,,,
360,380,African Grass-Owl,Tyto capensis,16.1,27.4,38.6,9,6.3,2.7,223,,,,,
359,381,Barn Owl,Tyto alba,21.2,18.3,24.7,16.7,12.6,6.6,953,,,,,
352,374,Diderick Cuckoo,Chrysococcyx caprius,6.7,12.9,20.9,24.2,18.3,17,1288,,,,,
351,373,Klaas's Cuckoo,Chrysococcyx klaas,11.6,14.9,26.2,23.5,14.4,9.4,786,,,,,
350,372,African Emerald Cuckoo,Chrysococcyx cupreus,8.4,16.9,25.4,19.7,16,13.6,213,,,,,
348,363,Jacobin Cuckoo,Clamator jacobinus,8.6,16.6,28.3,20.2,16.7,9.7,724,,,,,
347,364,Levaillant's Cuckoo,Clamator levaillantii,2.4,11,23,24.4,27.8,11.5,209,,,,,
346,362,Great Spotted Cuckoo,Clamator glandarius,6.4,24,38.3,20.8,9.3,1.1,279,,,,,
344,366,Black Cuckoo,Cuculus clamosus,4.7,11.8,20.4,23.9,21.2,18,637,,,,,
343,365,Red-chested Cuckoo,Cuculus solitarius,10.4,16.2,26.1,20.2,15.9,11.2,838,,,,,
341,367,African Cuckoo,Cuculus gularis,11.7,23.5,28,21.2,10.1,5.5,307,,,,,
340,368,Common Cuckoo,Cuculus canorus,8.5,20.9,46.5,11.6,12.4,0,129,,,,,
339,,Grey Go-away-bird,Corythaixoides concolor,17.3,14.7,24,17.6,13.2,13.2,341,,,,,
337,360,Purple-crested Turaco,Gallirex porphyreolophus,24.1,8.5,13.7,17.9,11.3,24.5,212,,,,,
328,345,Brown-headed Parrot,Poicephalus cryptoxanthus,33.8,18.2,23.4,15.6,6.5,2.6,77,,,,,
327,344,Meyer's Parrot,Poicephalus meyeri,29.4,19.1,10.3,17.6,19.1,4.4,68,,,,,
323,340,African Green-Pigeon,Treron calvus,29,13.9,18.8,13.3,10.4,14.5,345,,,,,
322,334,Lemon Dove,Aplopelia larvata,16.3,17.6,29.4,15.8,10.9,9.9,221,,,,,
321,337,Emerald-spotted Wood-Dove,Turtur chalcospilos,21.6,17.6,20.7,17,12.7,10.4,518,,,,,
319,335,Tambourine Dove,Turtur tympanistria,13.4,14.7,24.2,16.3,14.5,16.8,380,,,,,
318,339,Namaqua Dove,Oena capensis,23.1,18.9,25.9,17.5,8.8,6,1300,,,,,
317,333,Laughing Dove,Streptopelia senegalensis,25.7,15.7,21.5,17.4,10.9,8.7,1435,,,,,
316,328,Cape Turtle-Dove,Streptopelia capicola,16.3,11.2,17.1,21.8,17.5,16.1,1443,,,,,
315,329,African Mourning Dove,Streptopelia decipiens,15.7,19.6,39.2,9.8,7.8,7.8,51,,,,,
314,330,Red-eyed Dove,Streptopelia semitorquata,7.6,7.9,15.4,17,17,35.2,1336,,,,,
312,325,African Olive-Pigeon,Columba arquatrix,16.7,18.5,25.3,19.3,10.2,10,509,,,,,
311,324,Speckled Pigeon,Columba guinea,13.9,11.3,16.8,20.2,14.7,23,1384,,,,,
310,,Double-banded Sandgrouse,Pterocles bicinctus,17.4,15.3,25.7,20.1,16,5.6,144,,,,,
308,,Burchell's Sandgrouse,Pterocles burchelli,13.8,22.8,23.6,21.1,13,5.7,123,,,,,
307,,Namaqua Sandgrouse,Pterocles namaqua,12.8,19.2,28.1,20.2,13.5,6.2,579,,,,,
305,312,Whiskered Tern,Chlidonias hybrida,5.4,12.2,22.5,20.9,17.1,21.9,590,,,,,
304,314,White-winged Tern,Chlidonias leucopterus,28.5,26,30.6,8.8,5.1,1.1,628,,,,,
299,311,Little Tern,Sterna albifrons,18.3,9.9,23.9,8.4,16.9,22.5,71,,,,,
298,303,Swift Tern,Sterna bergii,14.5,7.3,15.2,19.6,14.5,29,138,,,,,
296,305,Sandwich Tern,Sterna sandvicensis,26.1,17.7,23.1,6.9,11.5,14.6,130,,,,,
294,,Arctic Tern,Sterna paradisaea,32.5,24.1,33.7,4.8,3.6,1.2,83,,,,,
291,307,Common Tern,Sterna hirundo,38.5,16.1,23.1,9.8,6.3,6.3,143,,,,,
290,302,Caspian Tern,Sterna caspia,12.4,9.5,20.7,17.8,19.4,20.3,242,,,,,
289,,Hartlaub's Gull,Larus hartlaubii,34.2,10.1,15.2,16.5,6.3,17.7,79,,,,,
288,296,Grey-headed Gull,Larus cirrocephalus,16.9,14.4,31.7,14.8,10.9,11.3,486,,,,,
287,300,Kelp Gull,Larus dominicanus,26.7,8.9,18.9,10,12.2,23.3,180,,,,,
286,286,Subantarctic Skua,Catharacta antarctica,10.8,12.3,27.7,15.4,12.3,21.5,65,,,,,
282,283,Black-winged Pratincole,Glareola nordmanni,1.6,13.7,35.2,22.5,17.6,9.3,182,,,,,
280,281,Bronze-winged Courser,Rhinoptilus chalcopterus,9.3,19.3,27.1,28.6,15,0.7,140,,,,,
278,279,Double-banded Courser,Rhinoptilus africanus,14,19,34.1,18.5,9.7,4.7,443,,,,,
277,278,Temminck's Courser,Cursorius temminckii,11.8,23.6,31,17.8,13.2,2.6,348,,,,,
276,,Burchell's Courser,Cursorius rufus,5.9,26.5,40.2,15.7,7.3,4.4,204,,,,,
275,275,Spotted Thick-knee,Burhinus capensis,27.2,19.7,20,16.1,11.9,5.2,1263,,,,,
274,274,Water Thick-knee,Burhinus vermic  latus,15.1,14.9,20.7,17.1,16,16.3,363,,,,,
270,267,Black-winged Stilt,Himantopus himantopus,14.1,17.4,21.1,21,14.5,11.9,988,,,,,
269,268,Pied Avocet,Recurvirostra avosetta,14.1,20.6,30,15.8,12.6,6.9,669,,,,,
268,256,Common Whimbrel,Numenius phaeopus,26.1,13.9,24.6,9.2,13.1,13.1,130,,,,,
267,257,Eurasian Curlew,Numenius arquata,23.5,11.1,50.6,8.6,4.9,1.2,81,,,,,
266,255,Bar-tailed Godwit,Limosa lapponica,15.8,14.5,32.9,14.5,11.8,10.5,76,,,,,
264,263,Wood Sandpiper,Tringa glareola,17.8,23.5,27.6,16.4,9.5,5.3,941,,,,,
263,261,Common Greenshank,Tringa nebularia,16.8,22.4,28.4,17.8,9.4,5.3,1014,,,,,
262,260,Marsh Sandpiper,Tringa stagnatilis,19.2,26.5,35.7,11.4,4.7,2.6,661,,,,,
258,265,Common Sandpiper,Actitis hypoleucos,24.3,25.4,29.1,11.7,7.2,2.2,983,,,,,
257,264,Terek Sandpiper,Xenus cinereus,18.8,21.7,30.4,10.1,8.7,10.1,69,,,,,
256,247,Ruff,Philomachus pugnax,17.3,22.1,30,13.1,9.4,8.1,738,,,,,
255,237,Sanderling,Calidris alba,31.2,17.7,24.8,14.9,8.5,2.8,141,,,,,
254,236,Red Knot,Calidris canutus,21.9,25,37.5,9.4,6.3,0,64,,,,,
253,239,Little Stint,Calidris minuta,18.4,21,33.3,13.2,8.2,5.9,760,,,,,
251,243,Curlew Sandpiper,Calidris ferruginea,23,24.1,32.7,10.7,5.6,3.9,569,,,,,
250,250,African Snipe,Gallinago nigripennis,10.8,17.7,23.6,18,17.4,12.4,677,,,,,
247,216,African Wattled Lapwing,Vanellus senegallus,16.7,14.2,16.5,21.9,16,14.7,443,,,,,
245,217,Blacksmith Lapwing,Vanellus armatus,19.6,13.1,21.4,17.5,10.2,18.2,1379,,,,,
243,223,Black-winged Lapwing,Vanellus melanopterus,11.4,16.1,25,26.7,12.7,8.1,236,,,,,
242,220,Crowned Lapwing,Vanellus coronatus,22.1,13.5,20.5,20,13.4,10.5,1311,,,,,
241,225,Grey Plover,Pluvialis squatarola,23,21,26.3,13.2,9.2,7.2,152,,,,,
239,231,Greater Sand Plover,Charadrius leschenaultii,16.4,20,43.6,10.9,1.8,7.3,55,,,,,
238,235,Three-banded Plover,Charadrius tricollaris,18.7,16.4,21,19.2,12.1,12.7,1351,,,,,
237,234,Kittlitz's Plover,Charadrius pecuarius,13.9,19.2,28.5,16.9,11.6,9.9,818,,,,,
236,230,Chestnut-banded Plover,Charadrius pallidus,17.2,16.1,39.1,12.6,6.9,8.1,87,,,,,
235,229,White-fronted Plover,Charadrius marginatus,32.6,12,21.7,17.1,6.9,9.7,175,,,,,
233,227,Common Ringed Plover,Charadrius hiaticula,16.1,19.4,34.7,14.7,8.9,6.1,360,,,,,
232,266,Ruddy Turnstone,Arenaria interpres,28.3,15.1,28.3,10.5,9.9,7.9,152,,,,,
231,,African Black Oystercatcher,Haematopus moquini,27.1,3.4,14.4,13.6,11.9,29.7,118,,,,,
230,213,Greater Painted-snipe,Rostratula benghalensis,4.6,16.2,42.4,18.2,14.6,4,198,,,,,
228,211,African Jacana,Actophilornis africanus,15.6,13.1,22.2,17.2,16.2,15.8,482,,,,,
227,205,Black-bellied Bustard,Lissotis melanogaster,25.5,18.6,29.3,17.5,5.3,3.7,188,,,,,
224,,Red-crested Korhaan,Lophotis ruficrista,13.9,12.5,23.6,17.7,16.3,16,368,,,,,
223,,Blue Korhaan,Eupodotis caerulescens,20.9,15.6,23.6,19.8,10.3,9.7,339,,,,,
222,203,White-bellied Korhaan,Eupodotis senegalensis,13.9,23.8,31.4,12.6,12.1,6.3,223,,,,,
220,,Karoo Korhaan,Eupodotis vigorsii,7.8,17.9,25.1,22.8,19.2,7.2,307,,,,,
219,207,Denham's Bustard,Neotis denhami,19.1,18.8,27.5,16.2,8.1,10.1,345,,,,,
218,,Ludwig's Bustard,Neotis ludwigii,8.9,18,23.6,23.9,19.7,5.9,406,,,,,
217,209,Kori Bustard,Ardeotis kori,20.9,22.4,24.7,17.7,12.2,2,344,,,,,
216,,Blue Crane,Anthropoides paradiseus,21.3,18.2,23.8,12.8,9.6,14.3,757,,,,,
215,,Wattled Crane,Bugeranus carunculatus,22.2,22.2,27.2,9.9,11.1,7.4,81,,,,,
214,184,Grey Crowned Crane,Balearica regulorum,20.8,19.8,24,16.7,9,9.7,288,,,,,
213,202,African Finfoot,Podica senegalensis,9.4,12.2,38.1,18,15.1,7.2,139,,,,,
212,197,Red-knobbed Coot,Fulica cristata,21.7,14.7,19.5,18.7,10.6,14.8,1181,,,,,
211,200,Lesser Moorhen,Gallinula angulata,3.4,18.6,15.3,32.2,23.7,6.8,59,,,,,
210,201,Common Moorhen,Gallinula chloropus,11.8,11.6,19.8,19.4,17,20.4,1049,,,,,
208,198,African Purple Swamphen,Porphyrio madagascariensis,16.1,16.8,24.4,17.9,12.1,12.6,446,,,,,
206,186,Buff-spotted Flufftail,Sarothrura elegans,18.2,18.2,28.2,20.4,7.7,7.2,181,,,,,
205,187,Red-chested Flufftail,Sarothrura rufa,9.8,14.6,25.8,14.9,21,13.9,295,,,,,
203,193,Black Crake,Amaurornis flavirostris,14,12.3,19,15.8,17.4,21.5,657,,,,,
202,195,Baillon's Crake,Porzana pusilla,8,16,45.3,16,10.7,4,75,,,,,
199,191,African Crake,Crecopsis egregia,0,21.5,33.3,25.8,18.3,1.1,93,,,,,
197,190,African Rail,Rallus caerulescens,12.1,14.5,26,14.8,18,14.5,338,,,,,
196,181,Kurrichane Buttonquail,Turnix sylvaticus,13.5,20,29.7,21.1,13.2,2.4,370,,,,,
193,178,Crested Guineafowl,Guttera edouardi,16.2,20.6,11.8,17.6,19.1,14.7,68,,,,,
192,180,Helmeted Guineafowl,Numida meleagr s,19.9,12.4,17.8,15.8,13.7,20.5,1340,,,,,
190,174,Harlequin Quail,Coturnix delegorguei,12.6,26.2,36.1,13.7,8.7,2.7,183,,,,,
189,173,Common Quail,Coturnix coturnix,16.3,19.7,27.9,18.6,9.4,8.1,1039,,,,,
188,165,Red-necked Spurfowl,Pternistis afer,15.7,15.7,18.1,14.7,16.7,19.1,204,,,,,
185,,Swainson's Spurfowl,Pternistis swainsonii,11.9,8.8,17.3,16,17.5,28.6,707,,,,,
183,,Natal Spurfowl,Pternistis natalensis,8.2,9,19,18.8,16.4,28.5,536,,,,,
181,,Cape Spurfowl,Pternistis capensis,15.7,11.7,17.5,20.6,14.4,20.2,223,,,,,
179,,Orange River Francolin,Scleroptila levaillantoides,10.8,10,20.8,20.2,19.1,19.1,351,,,,,
178,169,Red-winged Francolin,Scleroptila levaillantii,17.9,19.7,31.4,14.8,8.9,7.4,325,,,,,
177,170,Shelley's Francolin,Scleroptila shelleyi,32.4,20.2,26.7,9.9,6.9,3.8,262,,,,,
176,,Grey-winged Francolin,Scleroptila africanus,27.8,16.1,23.7,17.5,8.4,6.4,497,,,,,
174,167,Crested Francolin,Dendroperdix sephaena,13.4,13.7,21.4,15.3,13.7,22.4,313,,,,,
173,172,Coqui Francolin,Peliperdix coqui,32.7,20.8,18.9,12.9,9.4,5.3,318,,,,,
172,141,Osprey,Pandion haliaetus,11.7,11.7,27,22.3,17.5,9.9,274,,,,,
171,94,African Harrier-Hawk,Polyboroides typus,16.4,15.9,25.4,21,13.6,7.7,860,,,,,
170,96,Montagu's Harrier,Circus pygargus,1.5,13.3,23,22.2,32.6,7.4,135,,,,,
169,,Black Harrier,Circus maurus,11.4,21.8,35.1,16.9,9,5.8,587,,,,,
168,95,Pallid Harrier,Circus macrourus,1.9,11.5,29.8,32.7,19.2,4.8,104,,,,,
167,98,African Marsh-Harrier,Circus ranivorus,13.7,20.1,33.6,17.9,7.7,6.9,547,,,,,
165,113,Southern Pale Chanting Goshawk,Melierax canorus,10.7,13.3,23.6,22.9,17.1,12.4,838,,,,,
163,112,Dark Chanting Goshawk,Melierax metabates,27.2,14.8,34.6,16,2.5,4.9,81,,,,,
162,114,Gabar Goshawk,Melierax gabar,11.6,17,26.4,21.7,15.5,7.7,594,,,,,
161,110,Shikra,Accipiter badius,14.8,22.4,28.8,20.5,9.9,3.8,264,,,,,
160,108,African Goshawk,Accipiter tachiro,15.3,15.7,26.3,19.4,14.9,8.4,464,,,,,
159,104,Black Sparrowhawk,Accipiter melanoleucus,6.6,9.4,22.3,20.5,21.9,19.3,502,,,,,
158,109,Little Sparrowhawk,Accipiter minullus,11.9,15.9,28.8,21.8,18.3,3.3,427,,,,,
157,105,Ovambo Sparrowhawk,Accipiter ovampensis,7.5,19.2,29.2,19.2,17.5,7.5,120,,,,,
156,107,Rufous-chested Sparrowhawk,Accipiter rufiventris,13.4,15.1,39,17.4,11.9,3.2,344,,,,,
155,,Forest Buzzard,Buteo trizonatus,12.4,16.6,24.4,17.1,16.1,13.5,193,,,,,
154,117,Steppe Buzzard,Buteo vulpinus,13.2,18.4,24,22,12.4,10.1,1269,,,,,
152,,Jackal Buzzard,Buteo rufofuscus,16.1,15.5,22.4,17.5,13.3,15.2,1076,,,,,
151,99,Bateleur,Terathopius ecaudatus,27.3,22.4,29.2,14.9,5,1.2,161,,,,,
150,93,Bearded Vulture,Gypaetus barbatus,17.8,23.3,38.4,15.1,5.5,0,73,,,,,
149,134,African Fish-Eagle,Haliaeetus vocifer,13.6,9.8,17.7,19.1,21,18.8,953,,,,,
146,100,Black-chested Snake-Eagle,Circaetus pectoralis,9.2,14.7,25.9,21.9,20.6,7.7,544,,,,,
145,101,Brown Snake-Eagle,Circaetus cinereus,12,14.6,25.6,23.5,18.5,5.9,426,,,,,
144,115,Lizard Buzzard,Kaupifalco monogrammicus,19,26,29.3,14.9,8.7,2.1,242,,,,,
143,122,African Crowned Eagle,Stephanoaetus coronatus,23.3,16.1,28.3,17.2,7.9,7.2,279,,,,,
142,123,Martial Eagle,Polemaetus bellicosus,17.1,21.7,33.6,17.5,8.5,1.7,885,,,,,
141,125,African Hawk-Eagle,Aquila spilogaster,20.5,19.2,23.2,22.3,11.6,3.1,224,,,,,
139,124,Booted Eagle,Aquila pennatus,4.7,13.5,27.2,25.5,19.8,9.3,600,,,,,
138,121,Long-crested Eagle,Lophaetus occipitalis,8.9,11,19,14.7,20.8,25.7,327,,,,,
137,133,Wahlberg's Eagle,Aquila wahlbergi,17.6,20,25.6,19.2,10.4,7.3,386,,,,,
136,127,Lesser Spotted Eagle,Aquila pomarina,3.7,14.8,24.7,25.9,19.8,11.1,81,,,,,
135,130,Steppe Eagle,Aquila nipalensis,5.8,24.1,43.7,18.4,5.8,2.3,87,,,,,
134,129,Tawny Eagle,Aquila rapax,17.3,23.5,38.7,13.3,5.6,1.5,323,,,,,
133,132,Verreaux's Eagle,Aquila verreauxii,26.6,19.3,26.1,15.6,8.9,3.7,836,,,,,
132,137,European Honey-Buzzard,Pernis apivorus,0,1,8.4,43.2,36.8,10.5,95,,,,,
130,139,Black-shouldered Kite,Elanus caeruleus,36.2,19.6,19.3,14.2,6.6,4,1341,,,,,
129,135,Yellow-billed Kite,Milvus aegyptius,17.3,18,28.7,16,10.3,9.7,885,,,,,
128,135,Black Kite,Milvus migrans,23.4,31.9,39.3,3.5,1.9,0,521,,,,,
127,136,African Cuckoo Hawk,Aviceda cuculoides,6.6,18.7,39.6,18.1,14.3,2.8,182,,,,,
126,142,Pygmy Falcon,Polihierax semitorquatus,11.3,8.3,20.6,33,19.6,7.2,97,,,,,
125,160,Lesser Kestrel,Falco naumanni,17.4,20.2,32.2,16.7,9,4.6,792,,,,,
123,159,Rock Kestrel,Falco rupicolus,27.7,26.1,25.2,11.5,5.3,4.2,1296,,,,,
122,158,Greater Kestrel,Falco rupicoloides,19.4,20.7,29,16.6,9.6,4.6,782,,,,,
120,149,Red-footed Falcon,Falco vespertinus,2.3,15.9,31.1,25.8,22,3,132,,,,,
119,150,Amur Falcon,Falco amurensis,1.5,5.5,14.3,19.7,26.7,32.3,742,,,,,
115,152,Eurasian Hobby,Falco subbuteo,8.4,18.3,43.8,15.9,11.9,1.6,251,,,,,
114,146,Lanner Falcon,Falco biarmicus,8.6,16.3,30.9,24,14.7,5.6,1064,,,,,
113,143,Peregrine Falcon,Falco peregrinus,1.4,4.8,17.2,22.6,33,20.9,354,,,,,
